date,device,visits
2016-11-15,mobile,8968436
2016-11-15,tablet,1519706
2016-11-16,desktop,18548614
2016-11-16,mobile,9227383
2016-11-16,tablet,1526766
2016-11-17,desktop,17944716
2016-11-17,mobile,8927140
2016-11-17,tablet,1493615
2016-11-18,desktop,15266887
2016-11-18,mobile,8188620
2016-11-18,tablet,1359252
2016-11-19,desktop,7486523
2016-11-19,mobile,6802302
2016-11-19,tablet,1244910
2016-11-20,desktop,8095419
2016-11-20,mobile,6355972
2016-11-20,tablet,1301498
2016-11-21,desktop,18290260
2016-11-21,mobile,8660823
2016-11-21,tablet,1478005
2016-11-22,desktop,16994015
2016-11-22,mobile,8599485
2016-11-22,tablet,1413091
2016-11-23,desktop,13510470
2016-11-23,mobile,8133319
2016-11-23,tablet,1279496
2016-11-24,desktop,6234988
2016-11-24,mobile,5953655
2016-11-24,tablet,1022314
2016-11-25,desktop,8768054
2016-11-25,mobile,7241617
2016-11-25,tablet,1212316
2016-11-26,desktop,6981808
2016-11-26,mobile,6722048
2016-11-26,tablet,1190519
2016-11-27,desktop,8225314
2016-11-27,mobile,6672403
2016-11-27,tablet,1302649
2016-11-28,desktop,19526901
2016-11-28,mobile,9300099
2016-11-28,tablet,1547016
2016-11-29,desktop,19881628
2016-11-29,mobile,9665025
2016-11-29,tablet,1579273
2016-11-30,desktop,19573065
2016-11-30,mobile,10083858
2016-11-30,tablet,1601741
2016-12-01,desktop,18611610
2016-12-01,mobile,10212056
2016-12-01,tablet,1564647
2016-12-02,desktop,16303740
2016-12-02,mobile,9595214
2016-12-02,tablet,1452885
2016-12-03,desktop,8145522
2016-12-03,mobile,8038915
2016-12-03,tablet,1328963
2016-12-04,desktop,8753097
2016-12-04,mobile,7206951
2016-12-04,tablet,1365981
2016-12-05,desktop,20527426
2016-12-05,mobile,10433381
2016-12-05,tablet,1670167
2016-12-06,desktop,19967407
2016-12-06,mobile,10023434
2016-12-06,tablet,1657519
2016-12-07,desktop,19532055
2016-12-07,mobile,10063789
2016-12-07,tablet,1646568
2016-12-08,desktop,19218012
2016-12-08,mobile,10323528
2016-12-08,tablet,1714556
2016-12-09,desktop,16651672
2016-12-09,mobile,9478158
2016-12-09,tablet,1564344
2016-12-10,desktop,8394504
2016-12-10,mobile,8008296
2016-12-10,tablet,1438817
2016-12-11,desktop,8769674
2016-12-11,mobile,7318707
2016-12-11,tablet,1471781
2016-12-12,desktop,20124799
2016-12-12,mobile,10002557
2016-12-12,tablet,1677637
2016-12-13,desktop,19692582
2016-12-13,mobile,9946246
2016-12-13,tablet,1664839
