date,browser_version,visits
2016-10-02,9.0,44511
2016-10-02,7.0,34329
2016-10-02,8.0,31699
2016-10-02,6.0,227
2016-10-03,11.0,4631298
2016-10-03,7.0,383485
2016-10-03,9.0,151748
2016-10-03,10.0,151584
2016-10-03,8.0,96747
2016-10-03,6.0,314
2016-10-03,9.10,118
2016-10-04,11.0,4873967
2016-10-04,7.0,390863
2016-10-04,10.0,163757
2016-10-04,9.0,161102
2016-10-04,8.0,106206
2016-10-04,6.0,357
2016-10-04,9.10,123
2016-10-05,11.0,4772396
2016-10-05,7.0,379412
2016-10-05,10.0,159272
2016-10-05,9.0,159141
2016-10-05,8.0,105416
2016-10-05,6.0,298
2016-10-06,11.0,4641172
2016-10-06,7.0,356706
2016-10-06,9.0,155745
2016-10-06,10.0,153944
2016-10-06,8.0,94818
2016-10-06,6.0,353
2016-10-06,9.10,103
2016-10-07,11.0,3730707
2016-10-07,7.0,282479
2016-10-07,9.0,130612
2016-10-07,10.0,127113
2016-10-07,8.0,81124
2016-10-07,6.0,327
2016-10-08,11.0,1151154
2016-10-08,9.0,50750
2016-10-08,10.0,47703
2016-10-08,8.0,41944
2016-10-08,7.0,30122
2016-10-08,6.0,230
2016-10-09,11.0,1032955
2016-10-09,10.0,45319
2016-10-09,9.0,44882
2016-10-09,8.0,39781
2016-10-09,7.0,26899
2016-10-09,6.0,227
2016-10-10,11.0,3170667
2016-10-10,9.0,121730
2016-10-10,10.0,116247
2016-10-10,7.0,94572
2016-10-10,8.0,72222
2016-10-10,6.0,293
2016-10-11,11.0,4590727
2016-10-11,7.0,368062
2016-10-11,9.0,149748
2016-10-11,10.0,147318
2016-10-11,8.0,94937
2016-10-11,6.0,372
2016-10-11,9.10,138
2016-10-12,11.0,4541910
2016-10-12,7.0,370589
2016-10-12,9.0,147981
2016-10-12,10.0,145451
2016-10-12,8.0,90861
2016-10-12,6.0,381
2016-10-13,11.0,4530557
2016-10-13,7.0,366799
2016-10-13,9.0,149182
2016-10-13,10.0,143490
2016-10-13,8.0,92926
2016-10-13,6.0,361
2016-10-13,9.10,115
2016-10-14,11.0,3906149
2016-10-14,7.0,302569
2016-10-14,9.0,130941
2016-10-14,10.0,124865
2016-10-14,8.0,84659
2016-10-14,6.0,308
2016-10-14,9.10,112
2016-10-15,11.0,1228001
2016-10-15,9.0,49256
2016-10-15,10.0,47442
2016-10-15,8.0,34796
2016-10-15,7.0,34135
2016-10-15,6.0,215
2016-10-15,9.10,108
2016-10-16,11.0,1177099
2016-10-16,9.0,47374
2016-10-16,10.0,46598
2016-10-16,7.0,31515
2016-10-16,8.0,30990
2016-10-16,6.0,240
2016-10-17,11.0,4710949
2016-10-17,7.0,358466
2016-10-17,9.0,153367
2016-10-17,10.0,147150
2016-10-17,8.0,98448
2016-10-17,6.0,333
2016-10-18,11.0,4555992
2016-10-18,7.0,353887
2016-10-18,9.0,148838
2016-10-18,10.0,146052
2016-10-18,8.0,97653
2016-10-18,6.0,384
2016-10-19,11.0,4426852
2016-10-19,7.0,338752
2016-10-19,9.0,144333
2016-10-19,10.0,142510
2016-10-19,8.0,92305
2016-10-19,6.0,406
2016-10-20,11.0,4290000
2016-10-20,7.0,332495
2016-10-20,9.0,141330
2016-10-20,10.0,139600
2016-10-20,8.0,90766
2016-10-20,6.0,329
2016-10-21,11.0,3721091
2016-10-21,7.0,302929
2016-10-21,9.0,122738
2016-10-21,10.0,120170
2016-10-21,8.0,80068
2016-10-21,6.0,549
2016-10-22,11.0,1097443
2016-10-22,10.0,47392
2016-10-22,9.0,45019
2016-10-22,7.0,32261
2016-10-22,8.0,31434
2016-10-22,6.0,209
2016-10-23,11.0,1067919
2016-10-23,10.0,47039
2016-10-23,9.0,42991
2016-10-23,8.0,29137
2016-10-23,7.0,28939
2016-10-23,6.0,251
2016-10-24,11.0,4625075
2016-10-24,7.0,366634
2016-10-24,10.0,146262
2016-10-24,9.0,146036
2016-10-24,8.0,96820
2016-10-24,6.0,379
2016-10-24,9.10,117
2016-10-25,11.0,4581213
2016-10-25,7.0,371667
2016-10-25,10.0,145819
2016-10-25,9.0,145391
2016-10-25,8.0,96046
2016-10-25,6.0,516
2016-10-26,11.0,2658907
2016-10-26,7.0,119854
2016-10-26,10.0,95695
2016-10-26,9.0,91569
2016-10-26,8.0,62963
2016-10-26,6.0,457
2016-10-26,9.10,113
2016-10-27,11.0,4456967
2016-10-27,7.0,359109
2016-10-27,10.0,143024
2016-10-27,9.0,141237
2016-10-27,8.0,92484
2016-10-27,6.0,583
2016-10-27,9.10,110
2016-10-28,11.0,3663051
2016-10-28,7.0,315502
2016-10-28,9.0,119484
2016-10-28,10.0,118027
2016-10-28,8.0,78594
2016-10-28,6.0,513
2016-10-29,11.0,1085195
2016-10-29,10.0,47773
2016-10-29,9.0,43727
2016-10-29,7.0,35190
2016-10-29,8.0,32555
2016-10-29,6.0,244
2016-10-30,11.0,1094883
2016-10-30,10.0,48756
2016-10-30,9.0,42991
2016-10-30,7.0,35209
2016-10-30,8.0,31861
2016-10-30,6.0,234
2016-10-31,11.0,4288689
2016-10-31,7.0,367617
2016-10-31,10.0,135552
2016-10-31,9.0,131441
2016-10-31,8.0,89350
2016-10-31,6.0,338
2016-11-01,11.0,4412187
2016-11-01,7.0,368748
2016-11-01,10.0,138199
2016-11-01,9.0,134224
2016-11-01,8.0,96737
2016-11-01,6.0,476
2016-11-01,9.10,119
2016-11-02,11.0,4420841
2016-11-02,7.0,357997
2016-11-02,10.0,139890
2016-11-02,9.0,133962
2016-11-02,8.0,93796
2016-11-02,6.0,413
2016-11-03,11.0,4248088
2016-11-03,7.0,349783
2016-11-03,10.0,135207
2016-11-03,9.0,129501
2016-11-03,8.0,92061
2016-11-03,6.0,356
2016-11-03,9.10,109
2016-11-04,11.0,3653657
2016-11-04,7.0,298605
2016-11-04,10.0,118227
2016-11-04,9.0,113146
2016-11-04,8.0,79297
2016-11-04,6.0,284
2016-11-04,9.10,105
2016-11-05,11.0,1061972
2016-11-05,10.0,47543
2016-11-05,9.0,41630
2016-11-05,8.0,37160
2016-11-05,7.0,31674
2016-11-05,6.0,196
2016-11-06,11.0,1112421
2016-11-06,10.0,50846
2016-11-06,9.0,43203
2016-11-06,8.0,36471
2016-11-06,7.0,31711
2016-11-06,6.0,198
2016-11-07,11.0,4532937
2016-11-07,7.0,365775
2016-11-07,10.0,142146
2016-11-07,9.0,137961
2016-11-07,8.0,98961
2016-11-07,6.0,333
2016-11-07,10.6,146
2016-11-08,11.0,4166315
2016-11-08,7.0,344371
2016-11-08,10.0,134212
2016-11-08,9.0,126158
2016-11-08,8.0,92963
2016-11-08,6.0,384
2016-11-08,10.6,133
2016-11-09,11.0,4077117
2016-11-09,7.0,328179
2016-11-09,10.0,132203
2016-11-09,9.0,122811
2016-11-09,8.0,85637
2016-11-09,6.0,295
2016-11-09,10.6,165
2016-11-10,11.0,4030876
2016-11-10,7.0,317970
2016-11-10,10.0,130561
2016-11-10,9.0,121820
2016-11-10,8.0,87758
2016-11-10,6.0,340
2016-11-10,10.6,130
2016-11-11,11.0,2409310
2016-11-11,10.0,90351
2016-11-11,9.0,85403
2016-11-11,7.0,66225
2016-11-11,8.0,57152
2016-11-11,6.0,239
2016-11-11,10.6,124
2016-11-12,11.0,1057972
2016-11-12,10.0,47536
2016-11-12,9.0,39491
2016-11-12,8.0,29117
2016-11-12,7.0,28297
2016-11-12,6.0,205
2016-11-12,10.6,105
2016-11-13,11.0,1065813
2016-11-13,10.0,49385
2016-11-13,9.0,38370
2016-11-13,7.0,28312
2016-11-13,8.0,27245
2016-11-13,6.0,197
2016-11-14,11.0,4602897
2016-11-14,7.0,355981
2016-11-14,10.0,140515
2016-11-14,9.0,132873
2016-11-14,8.0,97136
2016-11-14,6.0,311
2016-11-14,10.6,117
2016-11-15,11.0,4594656
2016-11-15,7.0,361226
2016-11-15,10.0,139980
2016-11-15,9.0,133145
2016-11-15,8.0,94504
2016-11-15,6.0,324
2016-11-15,10.6,119
2016-11-16,11.0,4493139
2016-11-16,7.0,352758
2016-11-16,10.0,136703
2016-11-16,9.0,129943
2016-11-16,8.0,92200
2016-11-16,6.0,310
2016-11-16,10.6,105
2016-11-17,11.0,4401469
2016-11-17,7.0,347723
2016-11-17,10.0,133357
2016-11-17,9.0,127055
2016-11-17,8.0,91685
2016-11-17,6.0,293
2016-11-18,11.0,3760540
2016-11-18,7.0,311125
2016-11-18,10.0,115965
2016-11-18,9.0,111550
2016-11-18,8.0,77018
2016-11-18,6.0,256
2016-11-18,9.10,124
2016-11-19,11.0,1129364
2016-11-19,10.0,47739
2016-11-19,9.0,41923
2016-11-19,7.0,35982
2016-11-19,8.0,31062
2016-11-19,6.0,287
2016-11-19,10.6,108
2016-11-20,11.0,1115144
2016-11-20,10.0,47837
2016-11-20,9.0,40273
2016-11-20,8.0,30289
2016-11-20,7.0,29070
2016-11-20,6.0,217
2016-11-21,11.0,4457526
2016-11-21,7.0,353306
2016-11-21,10.0,131839
2016-11-21,9.0,125948
2016-11-21,8.0,89501
2016-11-21,6.0,308
2016-11-22,11.0,4252246
2016-11-22,7.0,345380
2016-11-22,10.0,131331
2016-11-22,9.0,122145
2016-11-22,8.0,77339
2016-11-22,6.0,275
2016-11-23,11.0,3281332
2016-11-23,7.0,263474
2016-11-23,10.0,106430
2016-11-23,9.0,101213
2016-11-23,8.0,68933
2016-11-23,6.0,218
2016-11-24,11.0,907991
2016-11-24,10.0,48192
2016-11-24,9.0,39317
2016-11-24,8.0,32078
2016-11-24,7.0,23448
2016-11-24,6.0,218
2016-11-25,11.0,1685910
2016-11-25,7.0,136427
2016-11-25,10.0,61241
2016-11-25,9.0,57586
2016-11-25,8.0,47022
2016-11-25,6.0,213
2016-11-26,11.0,1014445
2016-11-26,10.0,43625
2016-11-26,9.0,37800
2016-11-26,8.0,27096
2016-11-26,7.0,25664
2016-11-26,6.0,163
2016-11-27,11.0,1113559
2016-11-27,10.0,46178
2016-11-27,9.0,40302
2016-11-27,7.0,27696
2016-11-27,8.0,26548
2016-11-27,6.0,138
2016-11-28,11.0,4702955
2016-11-28,7.0,368472
2016-11-28,10.0,133996
2016-11-28,9.0,128820
2016-11-28,8.0,75985
2016-11-28,6.0,252
2016-11-29,11.0,4774705
2016-11-29,7.0,370928
2016-11-29,10.0,134302
2016-11-29,9.0,132316
2016-11-29,8.0,71837
2016-11-29,6.0,468
2016-11-30,11.0,4684968
2016-11-30,7.0,360444
2016-11-30,9.0,131147
2016-11-30,10.0,130941
2016-11-30,8.0,68216
2016-11-30,6.0,265
2016-12-01,11.0,4457009
2016-12-01,7.0,350317
2016-12-01,10.0,125862
2016-12-01,9.0,124006
2016-12-01,8.0,65070
2016-12-01,6.0,220
2016-12-02,11.0,3909004
2016-12-02,7.0,304880
2016-12-02,10.0,112920
2016-12-02,9.0,110461
2016-12-02,8.0,59722
2016-12-02,6.0,202
2016-12-03,11.0,1231902
2016-12-03,10.0,48517
2016-12-03,9.0,43000
2016-12-03,7.0,32371
2016-12-03,8.0,28463
2016-12-03,6.0,197
2016-12-04,11.0,1214105
2016-12-04,10.0,51575
2016-12-04,9.0,41585
2016-12-04,7.0,35326
2016-12-04,8.0,26440
2016-12-04,6.0,256
2016-12-05,11.0,4913586
2016-12-05,7.0,367537
2016-12-05,10.0,137019
2016-12-05,9.0,134487
2016-12-05,8.0,71968
2016-12-05,6.0,300
2016-12-06,11.0,4845741
2016-12-06,7.0,368286
2016-12-06,10.0,135020
2016-12-06,9.0,133584
2016-12-06,8.0,71815
2016-12-06,6.0,390
2016-12-07,11.0,4749426
2016-12-07,7.0,356534
2016-12-07,10.0,130631
2016-12-07,9.0,130152
2016-12-07,8.0,67905
2016-12-07,6.0,289
2016-12-08,11.0,4664919
2016-12-08,7.0,358430
2016-12-08,10.0,128008
2016-12-08,9.0,126687
2016-12-08,8.0,65223
2016-12-08,6.0,242
2016-12-08,9.10,107
2016-12-09,11.0,4034980
2016-12-09,7.0,304994
2016-12-09,9.0,111105
2016-12-09,10.0,108545
2016-12-09,8.0,77745
2016-12-09,6.0,257
2016-12-10,11.0,1323327
2016-12-10,8.0,50404
2016-12-10,10.0,46793
2016-12-10,9.0,45401
2016-12-10,7.0,32584
2016-12-10,6.0,194
2016-12-11,11.0,1269104
2016-12-11,8.0,51058
2016-12-11,10.0,50550
2016-12-11,9.0,43187
2016-12-11,7.0,32428
2016-12-11,6.0,158
2016-12-12,11.0,4940024
2016-12-12,7.0,367524
2016-12-12,9.0,132417
2016-12-12,10.0,126969
2016-12-12,8.0,79364
2016-12-12,6.0,218
2016-12-12,9.10,108
2016-12-13,11.0,4876064
2016-12-13,7.0,357147
2016-12-13,9.0,133113
2016-12-13,10.0,129851
2016-12-13,8.0,70830
2016-12-13,6.0,256
2016-12-13,9.10,107
