domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
ebenefits.va.gov,2327700,4107839,1089865,1.7647630708424624,203.3430235855136,1995708
state.gov,2283384,4162670,1937121,1.8230267007213854,102.82732207986042,2368260
studentloans.gov,2152691,6817855,1388808,3.1671312789434247,314.4179624479315,2148935
my.usps.com,2070819,7217448,2115135,3.48531088424435,130.83607693381217,4143892
portal.hud.gov,1970170,4543484,1207039,2.3061380490008476,156.75945019972895,1966415
nces.ed.gov,1925854,10769462,1438382,5.592044879829936,323.1763705867631,1931863
energy.gov,1905574,3745051,1421857,1.9653138634343248,141.2270722627408,1903321
sba.gov,1886797,7116799,1437631,3.7718943797345448,217.6595881803925,1882290
sam.gov,1860508,36814316,488224,19.787238754146717,554.2518107957611,1859757
apps.irs.gov,1851494,13860294,1279897,7.486005355674931,268.54446247192806,1809432
ftc.gov,1841730,9420463,1584098,5.115007628696931,113.37804672780483,1806427
fbo.gov,1810934,14043565,584366,7.754874004243114,437.3347554355929,1808681
benefits.va.gov,1804925,4682440,1321208,2.5942573791154757,167.00917877474134,1970170
2016.export.gov,1784645,1915339,1743334,1.0732324916159797,11.312711491641195,1788401
greatagain.gov,1783143,3673695,1288910,2.0602357746967015,110.81718460044988,1777885
consumer.ftc.gov,1774130,2754332,1599120,1.5524972803571329,85.2908366354213,1803423
nhlbi.nih.gov,1768121,2958635,1340737,1.6733215656620786,59.28631128751935,1768872
eric.ed.gov,1740330,3841945,1239337,2.2075956858756673,151.1864054518396,1730565
fs.usda.gov,1636676,4650142,1238586,2.8412110888166016,152.0596489470121,1635174
treasury.gov,1632169,3774344,1060572,2.3124713188401445,118.36448737845161,1578089
apod.nasa.gov,1610387,3508450,333494,2.178637805695153,132.20148510885892,1610387
data.bls.gov,1555556,2538012,822469,1.6315786766918066,51.778838563188984,1505982
gsa.gov,1554805,4095070,1083105,2.6338158161312832,130.49319689607378,1557058
vsearch.nlm.nih.gov,1469929,3615108,953914,2.4593759290414705,78.4782686782831,1452653
bop.gov,1364773,4259564,760878,3.121078743498003,167.2553494244098,1364773
eauth.va.gov,1349751,25878858,810451,19.173060808993657,397.3844116433327,1616396
pptform.state.gov,1323462,12909384,919363,9.754253616650875,528.5645519100661,1192768
www2.ed.gov,1281399,2435109,968936,1.9003518810300304,107.52581514422909,1256613
consumerfinance.gov,1278395,2353238,924620,1.840775347212716,91.6909398112477,1304684
holdmail.usps.com,1261119,2843715,1162723,2.25491408820262,161.38239928190757,1305435
goes.noaa.gov,1249853,2021997,430388,1.6177878518513777,75.24997179668328,1232577
tricare.mil,1227319,4743280,832234,3.8647490994598797,245.85131086539033,1220559
womenshealth.gov,1226568,1553302,1104137,1.2663806654013474,44.17085151414353,1216052
energystar.gov,1216052,1783143,472450,1.4663377881866895,36.922805110307785,1213799
waterdata.usgs.gov,1207039,2792639,398090,2.3136278115288738,113.30616740635556,1205537
applicationmanager.gov,1204786,20477602,650464,16.996879113801125,807.7504428172306,1204786
dhs.gov,1204035,2222544,986963,1.8459131171436047,78.4959199691039,1213799
catalog.usmint.gov,1202532,6172649,638446,5.133043444997721,234.83642846926318,1204786
search.cdc.gov,1198026,1946886,643704,1.6250782537273816,117.14166470510656,869789
choosemyplate.gov,1178497,4659907,877300,3.9541101928982423,316.83741324755175,1172488
uscourts.gov,1146199,2483181,863029,2.166448409045899,139.21689427403095,1153710
nih.gov,1138688,1613391,935887,1.416885924853867,64.56463052214478,1131928
usda.gov,1120661,1928108,544557,1.7205095921068012,207.5040293184112,1074092
fsis.usda.gov,1074092,1754601,726327,1.6335667708166526,105.3699319983763,1088363
redelivery.usps.com,1065830,1842481,862278,1.7286818723436195,153.98798682716756,1066581
history.state.gov,1062825,1673480,863780,1.5745583703808246,96.30462211558817,1069585
search.uscis.gov,1029025,1498471,467944,1.456204659750735,82.160601540293,956918
fns.usda.gov,1026772,2398305,806696,2.33577171952488,140.37160051111638,1029025
npin.cdc.gov,1020763,1795161,161489,1.75864622836055,294.6703377767415,1020763
navy.mil,1017007,2003970,683513,1.9704584137572307,93.21569468056758,1017007
foodsafety.gov,994474,1388808,868287,1.3965251982455047,53.09290036743042,993723
my.usajobs.gov,989967,5178175,704544,5.230654153118235,269.94394358599834,1266377
benefits.gov,963678,1737325,798433,1.8028065391136874,111.53472632974915,957669
defense.gov,944901,1988948,611406,2.1049273945101126,120.15733288460908,941896
airnow.gov,938141,1611138,340254,1.7173729748513282,64.05841339414864,938141
donotcall.gov,926123,4637374,740598,5.007298166658209,167.01535541175417,924620
water.weather.gov,924620,1490209,358281,1.611698860072246,75.6352944993619,941896
www3.epa.gov,917109,2704008,841247,2.9484041700604835,242.1155685965354,793927
aids.gov,914105,1345995,763882,1.4724730747561823,105.10351983634266,912603
treasurydirect.gov,899083,3356725,658726,3.733498464546655,274.2939517263701,897580
spc.noaa.gov,877300,4055261,319974,4.622433603100422,482.51473726205404,877300
water.usgs.gov,874296,1554053,718064,1.777490689652017,125.36424391739182,871291
hhs.gov,863780,2060304,655722,2.3852184584037603,172.22353724327954,834487
oceanservice.noaa.gov,859274,1276141,745104,1.4851386170185528,83.54366825948416,865283
my.uscis.gov,843500,8314073,609904,9.856636633076468,389.8246852400711,880305
accessdata.fda.gov,841998,6358925,560331,7.5521853971149575,368.43800460333637,961425
e-verify.uscis.gov,830731,17903537,207307,21.55154556649505,1150.3467199370193,857771
faq.ssa.gov,812705,1997961,793927,2.4584086476642817,100.29569770088777,833736
ssd.noaa.gov,808198,1674983,271152,2.072490899507299,95.04274076402069,817211
fmcsa.dot.gov,775149,2263104,523526,2.9195728821168574,186.156958210615,758624
nsopw.gov,773647,4869468,345512,6.294172923827016,400.26100792738805,772896
nsf.gov,759376,2325447,486721,3.0623130043614757,192.25013168706937,755620
mx.usembassy.gov,731584,2497452,449917,3.4137597323068847,281.3995193990027,707549
jpl.nasa.gov,730082,1342239,655722,1.8384770477836736,83.80351248215953,761629
climate.nasa.gov,711304,1385053,588873,1.9472026025440599,168.5903551786578,712807
sm.myhealth.va.gov,696282,4726005,425130,6.787486966487716,377.8338877064178,488975
emailus.usps.com,691775,881056,446912,1.2736164215243395,111.67432329876044,581362
find.irs.gov,690273,2610119,583615,3.7812850857559255,228.7280047169743,721820
dailymed.nlm.nih.gov,685015,1756854,416868,2.5646942037765594,226.53081027422758,680509
solarsystem.nasa.gov,672998,2695746,596384,4.005578025491904,279.4105138499669,698535
girlshealth.gov,664735,2064810,579859,3.1062152587121186,259.86112210128846,663984
uspto.gov,663233,1487204,310961,2.2423552507188274,186.76784930786013,635442
earthobservatory.nasa.gov,654971,1406084,504748,2.146788178407899,208.24076027793598,670744
grc.nasa.gov,651966,1132679,544557,1.7373283269372943,107.51964212857726,658726
spotthestation.nasa.gov,636944,1701272,422877,2.6709914843377125,89.38562416790172,642953
usaid.gov,636193,1742583,441655,2.7390791788026587,165.959848662277,630935
nrcs.usda.gov,627931,1990450,298192,3.1698546496350715,215.8599511729792,624175
nist.gov,618166,1324213,432641,2.142164078904372,117.54561234360997,585868
stopbullying.gov,617415,1296422,442406,2.0997578614060237,164.84431703149423,618166
poboxes.usps.com,611406,1724556,296690,2.8206396404353247,75.76661334694131,668491
ice.gov,608402,1306186,462686,2.146912732042301,141.76044128717527,609904
aphis.usda.gov,599388,2428349,208809,4.051380741689857,560.7033924603095,594131
dvlottery.state.gov,595633,1848490,461184,3.103404277466158,168.73639976294126,595633
gsaadvantage.gov,580611,6826118,169752,11.756783801891455,708.1353212391773,580611
gsaauctions.gov,579859,13194056,199796,22.75390396630905,346.29431982602665,579108
therealcost.betobaccofree.hhs.gov,575353,724073,502495,1.2584847910760872,31.328970214807256,575353
mars.nasa.gov,573851,2345727,527282,4.087693495349838,95.2656334135516,570846
ircalc.usps.com,564086,4759054,573099,8.436752551915843,223.45675836663204,729331
nlm.nih.gov,562584,1182252,418370,2.1014675141845482,177.23360067118867,558828
marine.weather.gov,555824,1062825,256881,1.9121610437836438,88.13781340856099,551317
itl.nist.gov,549815,790171,430388,1.437157953129689,56.11611360184789,550566
peacecorps.gov,548313,2501207,352272,4.561640887595224,207.07523257701348,547562
ed.gov,528784,712055,408606,1.3465895337226543,78.03973834306636,503246
smclinician.myhealth.va.gov,526530,5897742,66849,11.20115093157085,550.8649212770403,526530
transportation.gov,522024,1102634,410859,2.112228556541462,131.69633771627358,522024
health.mil,507001,887065,204303,1.7496316575312474,214.6002019719882,505499
vets.gov,488975,1783143,322228,3.6466956388363414,174.95382995040646,489726
uscg.mil,488224,1351253,318472,2.767690650193354,181.7229447958314,486721
ncdc.noaa.gov,479961,1828961,359032,3.8106450315754823,183.7090721954492,480713
ptsd.va.gov,467192,763131,365792,1.6334419253754344,113.55960076371171,468695
search.osha.gov,451419,691775,150974,1.5324454664070408,70.84028142368841,438650
safercar.gov,449917,832985,338001,1.8514192617749496,99.82968636437387,448415
ihs.gov,437899,1837223,172005,4.195540524184801,235.7650371432682,435646
nasasearch.nasa.gov,436397,1206288,284672,2.7641986539779144,169.21335847863298,277161
espanol.cdc.gov,432641,716562,381566,1.656250794538659,107.50700927558877,440152
rd.usda.gov,426632,1273137,286925,2.9841573065311557,210.31003300268148,442406
fws.gov,424379,886314,326734,2.088496367633648,117.33451702369815,423628
webbook.nist.gov,421375,1949139,298192,4.62566360130525,282.6735022248591,425881
vaccines.gov,417619,1178497,351521,2.821942967154272,80.53237280870842,418370
kids.usa.gov,416117,1126670,357530,2.7075798393240365,148.96742502709574,428886
dea.gov,415366,1146950,319223,2.761299673059422,129.92394177665,414615
ada.gov,413863,789420,324481,1.9074428011201774,115.25057325733395,427383
passportstatus.state.gov,413863,3464135,212565,8.370245709328932,156.58273873238247,362037
li-public.fmcsa.dot.gov,405601,3981652,142712,9.816672049625124,460.3057610804707,429637
jfklibrary.org,401846,950909,327485,2.366351786505278,121.93820020604909,401846
nrc.gov,392081,1346746,208058,3.4348667749776194,259.99817894771746,387574
pubs.usgs.gov,388326,678255,338752,1.746612382379753,103.08305907922724,390579
tidesandcurrents.noaa.gov,383819,1420355,217823,3.7005854321959046,196.08213767426835,385321
regulations.gov,381566,630935,262890,1.653540933940655,140.51558314944202,377059
ahrq.gov,380063,823220,316970,2.1660093195075554,115.36966502921884,380063
privacyshield.gov,377059,691024,340254,1.832668097035212,61.80077653629803,377059
science.nasa.gov,377059,1081603,341757,2.868524554512689,107.9083299961014,380814
ncjrs.gov,376308,613660,310961,1.6307386502545786,95.70253356293249,376308
usembassy.gov,372552,990718,358281,2.659274410015246,154.15733910970818,388326
ourdocuments.gov,364290,570846,288428,1.5670097998847072,81.1484421751901,364290
index.va.gov,361285,845002,322979,2.3388792781322225,103.62384267268223,404850
doi.gov,360534,744353,247867,2.064584754835882,116.16887450282081,359783
time.gov,354525,416868,218574,1.1758493759255342,67.91110923066074,354525
cpol.army.mil,353774,630184,119427,1.7813180165868605,201.21039703313414,353774
blog.ed.gov,341757,396588,313214,1.1604385572204812,52.94938216334998,334997
pe.usps.com,341005,1400826,579859,4.107933901262445,114.88781396167212,509255
nhtsa.gov,340254,584366,284672,1.717440500332105,103.60053959688938,338001
gobierno.usa.gov,339503,484468,274156,1.426991808614357,90.44695923158264,339503
nccih.nih.gov,339503,1101132,288428,3.2433645652615737,104.03546360415078,338752
healthypeople.gov,335748,1311444,205805,3.9060366703599128,283.8296758282998,334997
tsdr.uspto.gov,334997,1048554,125436,3.1300399705071986,218.20597199377906,346263
careers.state.gov,328988,887816,250121,2.6986273055552177,178.1641792405802,342508
atf.gov,325232,1067332,266645,3.2817557927879175,129.02311888129088,325232
retail-pi.usps.com,312463,759376,211063,2.4302909464480593,138.74044286843562,263641
aspe.hhs.gov,307205,442406,274156,1.4401002587848506,60.5281847626178,301948
ers.usda.gov,304952,715060,211063,2.344828038510979,160.88177155749102,313214
usbr.gov,288428,771393,107409,2.674473352101738,188.92415438168277,289179
grants.nih.gov,286925,748109,199796,2.607332926723011,189.48971333972293,299694
uk.usembassy.gov,283170,1072590,204303,3.7877953173005614,231.7212522512978,267396
retireefehb.opm.gov,278663,2507216,190783,8.997304988462767,694.0944222950302,253876
www-odi.nhtsa.dot.gov,275659,401095,241858,1.4550404666635226,126.96438353182737,273405
hrsa.gov,274907,497237,214067,1.80874623054342,139.06307951416298,272654
vacareers.va.gov,274907,1315950,231343,4.7868915669662835,182.15878096956425,299694
tsunami.gov,273405,374054,193787,1.3681315264900056,70.06324683162342,273405
usastaffing.opm.gov,271152,15384303,21031,56.7368228890069,2592.1707971912433,271152
cem.va.gov,270401,542304,216321,2.0055547131852323,148.15821687049973,268147
disability.gov,268147,544557,226836,2.0308151871920996,136.62487739933692,265894
nij.gov,268147,416868,200547,1.5546248885872302,99.0085699261972,265894
complaints.donotcall.gov,265143,1362520,195289,5.1388118864160095,238.4759167694414,264392
fhwa.dot.gov,262139,742851,210312,2.833805729021626,138.04847046795783,250872
ebuy.gsa.gov,256130,2604861,33049,10.170073790653184,626.421395385156,254627
health.gov,253876,539299,226085,2.124261450471884,116.48238510138808,253125
nia.nih.gov,250872,504748,215570,2.0119742338722535,90.66162026850346,249370
spaceplace.nasa.gov,250121,911100,236601,3.6426369637095646,184.55535520807928,263641
br.usembassy.gov,249370,888567,162240,3.5632473834061837,235.8068653005574,245614
fees.uspto.gov,248619,962927,81120,3.8731030210884927,360.50078634376297,288428
oceanexplorer.noaa.gov,246365,448415,216321,1.8201246118563918,108.44519310778723,242610
healthfinder.gov,244863,510006,195289,2.0828218228152067,103.00303843373642,244863
bjs.gov,243361,1385053,199045,5.691351531264253,130.1109545079121,242610
healthit.gov,241858,599388,159236,2.478264105384151,182.438253024502,240356
web.nvd.nist.gov,241858,691775,128440,2.8602527102680084,196.45691273391824,241858
nimh.nih.gov,239605,345512,202801,1.442006635921621,58.20693224264936,241858
ai.fmcsa.dot.gov,232845,2560545,117925,10.996778973136635,519.4841461057786,266645
nccd.cdc.gov,232094,850260,194538,3.663429472541298,208.85114220962197,241107
eddm.usps.com,231343,576104,79618,2.4902590525756128,164.15901496911513,231343
search.usembassy.gov,229841,392832,173507,1.709146757976166,86.32667365700637,211814
nepis.epa.gov,226836,1919846,235850,8.46358602690931,281.77510183568745,246365
search.archives.gov,223832,576855,144214,2.5771784195289325,129.08710997533865,201298
usitc.gov,223081,287676,104405,1.28955850117222,131.63952555349852,216321
freshempire.betobaccofree.hhs.gov,220076,256881,200547,1.1672376815281993,14.993188716625166,220076
portal.fmcsa.dot.gov,215570,391330,51827,1.8153268079974023,176.98218212181658,193036
eclkc.ohs.acf.hhs.gov,213316,513010,152476,2.404929775544263,123.96841305856101,216321
onboarding.usastaffing.gov,211063,3663931,36053,17.359418751747107,1118.0916645740845,211063
niaid.nih.gov,210312,289930,189281,1.378570885161094,42.8570885161094,210312
us-cert.gov,210312,366543,167498,1.7428534748373845,100.32129883221118,211063
iris.custhelp.com,207307,722571,172756,3.485511825456931,105.14868769506094,205805
fec.gov,205054,628682,147969,3.0659338515708057,181.4175192876023,207307
acf.hhs.gov,201298,544557,141209,2.705228069826824,219.2914435314807,205805
ar.usembassy.gov,200547,763882,137454,3.8089924057702182,305.5659271891377,188529
search.uspto.gov,198294,395837,123934,1.9962126942822274,122.45827912090128,173507
climate.gov,196792,315468,178765,1.6030529696329119,74.4273598520265,196041
es.usps.com,195289,321476,128440,1.6461551853919063,87.6463600100364,190032
missingmail.usps.com,193787,215570,138205,1.1124069210008927,140.6629598476678,158485
in.usembassy.gov,192285,498739,126187,2.593748862365759,153.58203708037547,196041
pe.usps.gov,192285,447664,153978,2.3281275190472477,95.98047169566009,190032
commerce.gov,190783,458930,144214,2.405507828265621,163.732093530346,191534
search.whitehouse.gov,190783,313214,116423,1.6417290848765351,103.84239685925895,164494
publichealth.va.gov,190032,398841,149472,2.0988096741601416,147.90092721225898,194538
niehs.nih.gov,189281,257632,161489,1.361108616290066,78.17441792889936,190032
blogs.va.gov,187778,281667,175009,1.5,85.32814813236908,184023
export.gov,187778,355277,144965,1.8920054532479844,67.67211813950516,186276
oig.hhs.gov,187027,335748,144214,1.7951846524833313,91.0442770295198,187027
es-tools.usps.com,186276,660980,84876,3.548390560243939,435.15345508814875,170503
starchild.gsfc.nasa.gov,185525,385321,162992,2.0769222476755154,108.10930063333782,188529
ftccomplaintassistant.gov,184774,1605129,150974,8.686985181897887,301.61767889421674,184774
findahealthcenter.hrsa.gov,184023,278663,72858,1.514283540644376,54.27748161914543,151725
nal.usda.gov,184023,338752,164494,1.840813376588796,121.58351401726958,177263
ndb.nal.usda.gov,183272,1248350,120178,6.811460561351434,371.429607359553,187027
imagine.gsfc.nasa.gov,181769,390579,159236,2.1487657411329764,192.02110370855317,179516
idcfars.bls.gov,181018,935887,112667,5.170132252041234,272.7058524566618,186276
osac.gov,181018,268147,153227,1.481327823752334,47.734518114220684,181018
physics.nist.gov,181018,473201,150974,2.614110198985736,100.05825939961771,199796
gsaxcess.gov,180267,4122110,18778,22.86669218437096,634.0131749016737,180267
evisaforms.state.gov,179516,375557,126938,2.0920530760489315,311.4520209897725,190783
selectionmanager.usastaffing.gov,178765,1732818,43565,9.69327329175174,690.1301149553883,178765
ngdc.noaa.gov,175009,1043296,129943,5.961384843065214,188.08197292710662,174258
aoprals.state.gov,174258,615913,104405,3.5344890908882234,143.18989085149605,175009
www2.usgs.gov,172005,261387,164494,1.5196476846603297,96.22704572541495,157734
fiscal.treasury.gov,169752,385321,142712,2.269905509213441,112.96434209906216,172756
hvo.wr.usgs.gov,169752,614411,102151,3.6194625100146096,147.50850652716903,169752
occ.gov,169752,325983,132196,1.920348508412272,128.1324461567463,168249
ifap.ed.gov,163743,485219,49573,2.9632961409037333,270.08207373750326,159987
invasivespeciesinfo.gov,163743,478459,113418,2.922011933334555,303.4856818306737,169000
step.state.gov,163743,1143194,141209,6.981635856189272,514.150430858113,151725
identitytheft.gov,161489,196792,124685,1.2186093170432661,156.0096477159435,157734
esrl.noaa.gov,160738,380063,87129,2.3644875511702272,148.18714305266957,160738
nlrb.gov,157734,603895,105156,3.8285658133313047,267.8996475078296,153978
fpds.gov,156232,1059821,37556,6.783635874852783,314.58566746889244,156232
smokefree.gov,156232,592628,147218,3.7932561831122946,147.88901121409185,155480
eol.jsc.nasa.gov,150223,317721,105907,2.114995706383177,193.87455982106601,176512
gab.usps.com,150223,288428,96143,1.919998934916757,151.09465927321384,132196
locator.ice.gov,149472,902087,71356,6.035157086277028,279.43633590237636,144965
consumidor.ftc.gov,145716,235850,133698,1.6185593894973784,113.55668560762031,146467
de.usembassy.gov,145716,380063,113418,2.608244804963079,186.6546158280491,141960
usaspending.gov,142712,803691,41311,5.6315586636022195,257.4623016985257,142712
climatekids.nasa.gov,141960,517517,117925,3.6455128205128204,241.29170893209354,142712
ic3.gov,141960,306454,116423,2.158734854888701,112.27545787545787,141209
atsdr.cdc.gov,141209,236601,120929,1.6755376781933162,95.64381873676606,142712
history.nasa.gov,141209,298192,135952,2.111706760900509,149.09606328208542,147218
search.af.mil,140458,241107,111165,1.7165771974540431,80.44930157057625,139707
ca.usembassy.gov,139707,437148,80369,3.1290343361463635,224.75817961877357,136703
disa.mil,138956,348517,112667,2.5081104810155734,118.756721552146,138956
auth.cdc.gov,138205,347014,45818,2.5108642957924823,116.26617705582287,132196
findit.ed.gov,137454,331241,93138,2.409831652771109,86.65010839990106,144965
marsmobile.jpl.nasa.gov,137454,477708,105907,3.4754026801693656,102.36045513408122,132947
trumanlibrary.org,137454,286174,117174,2.081961965457535,86.33862965064677,136703
usdasearch.usda.gov,134449,256130,105156,1.9050346227937731,129.17345610603277,118676
wwwn.cdc.gov,134449,470197,76614,3.4972145571926903,213.33005079993157,134449
secsearch.sec.gov,133698,298943,108911,2.235957157175126,112.1855300752442,133698
findit.state.gov,129191,220076,84125,1.7034932773954843,124.19232763892222,100649
voyager.jpl.nasa.gov,129191,313965,105156,2.4302389485335665,165.86690249320773,127689
nationalmap.gov,128440,280165,120178,2.181290875116786,135.54425412644036,126938
nihseniorhealth.gov,128440,211063,118676,1.6432809093740268,78.81894269697914,129191
webapps.dol.gov,127689,1756103,193787,13.75297010705699,86.85311968924496,180267
ope.ed.gov,126938,687269,78116,5.414210086814035,221.432211000646,128440
catalog.archives.gov,126187,207307,99898,1.6428554446971557,173.97028220022665,106658
doleta.gov,126187,257632,107409,2.041668317655543,87.23812278602392,127689
npdb.hrsa.gov,126187,215570,51827,1.7083376259044116,231.31553963562015,65347
usability.gov,126187,190032,93889,1.5059554470745797,60.17263268007005,126938
j1visa.state.gov,125436,581362,111165,4.63473006154533,192.81424790331323,135952
m.earthobservatory.nasa.gov,124685,168249,119427,1.3493924690219352,34.11440830893852,127689
faq.usps.com,123934,1340737,909598,10.818153210579824,62.98772733874482,817962
militarypay.defense.gov,123934,300445,108160,2.4242338664127683,105.03610792841351,125436
exchanges.state.gov,123183,398090,108911,3.2316959320685483,142.78609873115607,127689
nature.nps.gov,123183,348517,110414,2.8292621546804346,67.09123823904272,138205
prdfaq-f2.usps.com,122431,142712,104405,1.1656524899739444,72.55855951515548,93889
floodsmart.gov,121680,335748,101400,2.7592702169625247,183.87090729783037,121680
hiv.va.gov,120929,200547,104405,1.658386325860629,77.48462320865963,120178
cpars.cpars.gov,120178,2377274,37556,19.781274442909684,911.8634691873721,120178
nifa.usda.gov,119427,274907,69854,2.3018831587496966,181.00002511994776,117174
cfpub.epa.gov,118676,311712,125436,2.6265799319154675,177.32263473659376,126938
tr.usembassy.gov,118676,329739,72107,2.7784809059961577,166.98720044490884,117174
th.usembassy.gov,117174,277912,87129,2.3717889634219196,117.03172205438067,117174
search.justice.gov,116423,190032,69854,1.6322547950147308,89.5351433995001,96894
disasterassistance.gov,115671,234347,53329,2.0259788538181565,212.99432874272722,115671
fr.usembassy.gov,115671,272654,75111,2.3571508848371674,233.27362951820248,108160
pk.usembassy.gov,115671,320725,76614,2.7727347390443584,215.65668144997449,115671
saturn.jpl.nasa.gov,115671,325232,108911,2.811698697166965,158.89022313285093,114920
kids.niehs.nih.gov,114920,328237,98396,2.8562217194570136,154.61482770623041,114920
nwis.waterdata.usgs.gov,114920,343259,39809,2.9869387399930387,252.3667507831535,117174
sa.usembassy.gov,114920,216321,36053,1.882361642882005,180.47765402018797,116423
explore.va.gov,112667,298192,98396,2.6466667258380894,175.40665856018177,111165
itis.gov,112667,380814,82622,3.3799959171718426,180.6133206706489,112667
search.nih.gov,112667,238854,83374,2.1199996449714646,210.61998633140138,111165
ies.ed.gov,111916,452921,91636,4.046972729547161,200.96623360377427,114169
ntrs.nasa.gov,111916,235850,84125,2.1073841095107047,145.37568354837558,111165
ph.usembassy.gov,111165,265894,82622,2.391885935321369,186.00636891107814,112667
pbgc.gov,110414,304952,61591,2.76189613635952,140.16963428550727,108160
cnrfc.noaa.gov,107409,205805,53329,1.9160871062946307,80.08406185701385,108160
ferc.gov,107409,262139,60089,2.4405682950218326,232.72071241702278,107409
pmf.gov,106658,458179,60840,4.2957771568939975,217.23961634382795,106658
pe.usembassy.gov,105907,256881,69102,2.425533722983372,243.25526169186173,99147
rita.dot.gov,105156,269650,81871,2.564285442580547,185.54975465023395,106658
help.consumerfinance.gov,103654,418370,42813,4.036216643834295,519.6938275416289,91636
nicsezcheckfbi.gov,103654,131445,43565,1.2681131456576689,99.30400177513651,102903
secure.rrb.gov,103654,535544,49573,5.166650587531596,188.76020221120265,105156
pubs.er.usgs.gov,102903,156983,84125,1.5255434729794077,150.40806390484244,92387
teas.uspto.gov,102903,1541284,48822,14.978027851471774,646.9459005082456,93138
founders.archives.gov,99147,367294,78116,3.7045397238443925,91.09086507912494,102151
nws.noaa.gov,99147,187778,90134,1.8939352678346293,62.46966625313928,102903
response.restoration.noaa.gov,99147,149472,75862,1.5075796544524795,94.21965364559694,98396
ec.usembassy.gov,98396,319974,59338,3.2519004837595022,314.266667344201,94640
