date,os_version,visits
2016-09-29,2000,938
2016-09-29,7,8777430
2016-09-29,8,173554
2016-09-29,8.1,1031869
2016-09-29,NT,1274
2016-09-29,Server 2003,6009
2016-09-29,Vista,188969
2016-09-29,XP,290766
2016-09-30,(not set),1414
2016-09-30,10,3911774
2016-09-30,2000,862
2016-09-30,7,7535699
2016-09-30,8,146153
2016-09-30,8.1,890950
2016-09-30,NT,956
2016-09-30,Server 2003,5356
2016-09-30,Vista,169020
2016-09-30,XP,259173
2016-10-01,(not set),1532
2016-10-01,10,2672402
2016-10-01,2000,634
2016-10-01,7,2306275
2016-10-01,8,112925
2016-10-01,8.1,543841
2016-10-01,NT,889
2016-10-01,Server 2003,3770
2016-10-01,Vista,132529
2016-10-01,XP,160997
2016-10-02,(not set),1705
2016-10-02,10,2863902
2016-10-02,2000,603
2016-10-02,7,2245467
2016-10-02,8,133621
2016-10-02,8.1,596183
2016-10-02,NT,931
2016-10-02,Server 2003,3830
2016-10-02,Vista,134038
2016-10-02,XP,150340
2016-10-03,(not set),1713
2016-10-03,10,4862884
2016-10-03,2000,964
2016-10-03,7,9191197
2016-10-03,8,179623
2016-10-03,8.1,1127627
2016-10-03,NT,1593
2016-10-03,Server 2003,6586
2016-10-03,Vista,197908
2016-10-03,XP,305778
2016-10-04,(not set),1618
2016-10-04,10,5040652
2016-10-04,2000,1133
2016-10-04,7,9787740
2016-10-04,8,199428
2016-10-04,8.1,1193071
2016-10-04,98,110
2016-10-04,NT,1677
2016-10-04,Server 2003,6945
2016-10-04,Vista,204380
2016-10-04,XP,341788
2016-10-05,(not set),1537
2016-10-05,10,4919497
2016-10-05,2000,1046
2016-10-05,7,9569916
2016-10-05,8,193897
2016-10-05,8.1,1163665
2016-10-05,NT,2050
2016-10-05,Server 2003,6869
2016-10-05,Vista,203549
2016-10-05,XP,333629
2016-10-06,(not set),1538
2016-10-06,10,4798891
2016-10-06,2000,1313
2016-10-06,7,9243320
2016-10-06,8,189115
2016-10-06,8.1,1123675
2016-10-06,NT,2880
2016-10-06,Server 2003,6823
2016-10-06,Vista,211142
2016-10-06,XP,310427
2016-10-07,(not set),1438
2016-10-07,10,4044151
2016-10-07,2000,1409
2016-10-07,7,7469346
2016-10-07,8,167570
2016-10-07,8.1,940947
2016-10-07,NT,3227
2016-10-07,Server 2003,6186
2016-10-07,Vista,186883
2016-10-07,XP,265351
2016-10-08,(not set),1289
2016-10-08,10,2661767
2016-10-08,2000,1374
2016-10-08,7,2423739
2016-10-08,8,132451
2016-10-08,8.1,583538
2016-10-08,NT,3290
2016-10-08,Server 2003,3697
2016-10-08,Vista,146143
2016-10-08,XP,172355
2016-10-09,(not set),1242
2016-10-09,10,2643661
2016-10-09,2000,1279
2016-10-09,7,2248066
2016-10-09,8,137627
2016-10-09,8.1,607445
2016-10-09,NT,3440
2016-10-09,Server 2003,3434
2016-10-09,Vista,135886
2016-10-09,XP,156446
2016-10-10,(not set),1231
2016-10-10,10,4332800
2016-10-10,2000,1458
2016-10-10,7,6623947
2016-10-10,8,184346
2016-10-10,8.1,1013787
2016-10-10,NT,3102
2016-10-10,Server 2003,5818
2016-10-10,Vista,185129
2016-10-10,XP,266550
2016-10-11,(not set),1222
2016-10-11,10,4791079
2016-10-11,2000,1448
2016-10-11,7,9134789
2016-10-11,8,192231
2016-10-11,8.1,1134726
2016-10-11,NT,3277
2016-10-11,Server 2003,6659
2016-10-11,Vista,202975
2016-10-11,XP,293982
2016-10-12,(not set),1283
2016-10-12,10,4726173
2016-10-12,2000,1204
2016-10-12,7,8962550
2016-10-12,8,184921
2016-10-12,8.1,1107749
2016-10-12,NT,2643
2016-10-12,Server 2003,6796
2016-10-12,Vista,196565
2016-10-12,XP,283908
2016-10-13,(not set),1183
2016-10-13,10,4710010
2016-10-13,2000,1471
2016-10-13,7,8986659
2016-10-13,8,184158
2016-10-13,8.1,1100587
2016-10-13,NT,2741
2016-10-13,Server 2003,7545
2016-10-13,Vista,197470
2016-10-13,XP,300040
2016-10-14,(not set),1010
2016-10-14,10,4159874
2016-10-14,2000,1368
2016-10-14,7,7705715
2016-10-14,8,163902
2016-10-14,8.1,955337
2016-10-14,NT,2536
2016-10-14,Server 2003,6568
2016-10-14,Vista,183111
2016-10-14,XP,268956
2016-10-15,(not set),1137
2016-10-15,10,2776858
2016-10-15,2000,1186
2016-10-15,7,2480722
2016-10-15,8,128207
2016-10-15,8.1,596627
2016-10-15,NT,2474
2016-10-15,Server 2003,3519
2016-10-15,Vista,145299
2016-10-15,XP,163420
2016-10-16,(not set),1195
2016-10-16,10,2964096
2016-10-16,2000,1120
2016-10-16,7,2442166
2016-10-16,8,132783
2016-10-16,8.1,656386
2016-10-16,NT,2407
2016-10-16,Server 2003,4854
2016-10-16,Vista,146078
2016-10-16,XP,154674
2016-10-17,(not set),1319
2016-10-17,10,5113227
2016-10-17,2000,1193
2016-10-17,7,9333747
2016-10-17,8,185155
2016-10-17,8.1,1172175
2016-10-17,NT,2163
2016-10-17,Server 2003,7994
2016-10-17,Vista,205715
2016-10-17,XP,314129
2016-10-18,(not set),1297
2016-10-18,10,4795357
2016-10-18,2000,1200
2016-10-18,7,9041781
2016-10-18,8,179120
2016-10-18,8.1,1124707
2016-10-18,NT,1980
2016-10-18,Server 2003,8010
2016-10-18,Vista,190286
2016-10-18,XP,305847
2016-10-19,(not set),1299
2016-10-19,10,4671997
2016-10-19,2000,1186
2016-10-19,7,8776290
2016-10-19,8,174650
2016-10-19,8.1,1085986
2016-10-19,NT,1613
2016-10-19,Server 2003,8078
2016-10-19,Vista,183024
2016-10-19,XP,296911
2016-10-20,(not set),1301
2016-10-20,10,4527908
2016-10-20,2000,1289
2016-10-20,7,8506599
2016-10-20,8,170459
2016-10-20,8.1,1050774
2016-10-20,NT,1730
2016-10-20,Server 2003,7934
2016-10-20,Vista,183092
2016-10-20,XP,285527
2016-10-21,(not set),1165
2016-10-21,10,3968098
2016-10-21,2000,1248
2016-10-21,7,7330990
2016-10-21,8,154319
2016-10-21,8.1,911477
2016-10-21,NT,1645
2016-10-21,Server 2003,7471
2016-10-21,Vista,167309
2016-10-21,XP,256365
2016-10-22,(not set),1219
2016-10-22,10,2533752
2016-10-22,2000,981
2016-10-22,7,2219666
2016-10-22,8,117353
2016-10-22,8.1,531672
2016-10-22,NT,1407
2016-10-22,Server 2003,4388
2016-10-22,Vista,123548
2016-10-22,XP,147998
2016-10-23,(not set),1294
2016-10-23,10,2750349
2016-10-23,2000,954
2016-10-23,7,2222333
2016-10-23,8,123896
2016-10-23,8.1,598917
2016-10-23,NT,1543
2016-10-23,Server 2003,3954
2016-10-23,Vista,123914
2016-10-23,XP,141203
2016-10-24,(not set),1390
2016-10-24,10,4924433
2016-10-24,2000,1311
2016-10-24,7,9094525
2016-10-24,8,192372
2016-10-24,8.1,1128102
2016-10-24,NT,1663
2016-10-24,Server 2003,7525
2016-10-24,Vista,190590
2016-10-24,XP,302478
2016-10-25,(not set),1367
2016-10-25,10,4820705
2016-10-25,2000,1416
2016-10-25,7,9084700
2016-10-25,8,195050
2016-10-25,8.1,1104861
2016-10-25,NT,1849
2016-10-25,Server 2003,7586
2016-10-25,Vista,188104
2016-10-25,XP,300073
2016-10-26,(not set),1272
2016-10-26,10,3247934
2016-10-26,2000,1909
2016-10-26,7,5362012
2016-10-26,8,159587
2016-10-26,8.1,781947
2016-10-26,NT,2579
2016-10-26,Server 2003,5611
2016-10-26,Vista,137429
2016-10-26,XP,197664
2016-10-27,(not set),1286
2016-10-27,10,4694315
2016-10-27,2000,2873
2016-10-27,7,8911125
2016-10-27,8,210532
2016-10-27,8.1,1111533
2016-10-27,NT,4250
2016-10-27,Server 2003,7080
2016-10-27,Vista,204202
2016-10-27,XP,294242
2016-10-28,(not set),1285
2016-10-28,10,3930066
2016-10-28,2000,2730
2016-10-28,7,7320087
2016-10-28,8,185207
2016-10-28,8.1,920772
2016-10-28,NT,4105
2016-10-28,Server 2003,6527
2016-10-28,Vista,178204
2016-10-28,XP,244987
2016-10-29,(not set),1238
2016-10-29,10,2527513
2016-10-29,2000,2440
2016-10-29,7,2276378
2016-10-29,8,147935
2016-10-29,8.1,558839
2016-10-29,NT,3865
2016-10-29,Server 2003,3652
2016-10-29,Vista,136632
2016-10-29,XP,144323
2016-10-30,(not set),1296
2016-10-30,10,2841391
2016-10-30,2000,2408
2016-10-30,7,2354073
2016-10-30,8,154057
2016-10-30,8.1,633553
2016-10-30,NT,3755
2016-10-30,Server 2003,3981
2016-10-30,Vista,141588
2016-10-30,XP,146488
2016-10-31,(not set),1420
2016-10-31,10,4563581
2016-10-31,2000,2570
2016-10-31,7,8583347
2016-10-31,8,199510
2016-10-31,8.1,1067087
2016-10-31,NT,3980
2016-10-31,Server 2003,6681
2016-10-31,Vista,189567
2016-10-31,XP,275607
2016-11-01,(not set),1413
2016-11-01,10,4706933
2016-11-01,2000,2455
2016-11-01,7,8805914
2016-11-01,8,200810
2016-11-01,8.1,1097127
2016-11-01,NT,4019
2016-11-01,Server 2003,6670
2016-11-01,Vista,190187
2016-11-01,XP,273549
2016-11-02,(not set),1396
2016-11-02,10,4756169
2016-11-02,2000,2549
2016-11-02,7,8884690
2016-11-02,8,208961
2016-11-02,8.1,1107993
2016-11-02,NT,3976
2016-11-02,Server 2003,7886
2016-11-02,Vista,192183
2016-11-02,XP,285524
2016-11-03,(not set),1425
2016-11-03,10,4575248
2016-11-03,2000,2463
2016-11-03,7,8612001
2016-11-03,8,201203
2016-11-03,8.1,1074960
2016-11-03,NT,3748
2016-11-03,Server 2003,7376
2016-11-03,Vista,186819
2016-11-03,XP,285592
2016-11-04,(not set),1438
2016-11-04,10,3976418
2016-11-04,2000,2250
2016-11-04,7,7381890
2016-11-04,8,176572
2016-11-04,8.1,929382
2016-11-04,NT,3192
2016-11-04,Server 2003,7157
2016-11-04,Vista,166656
2016-11-04,XP,249930
2016-11-05,(not set),1338
2016-11-05,10,2592528
2016-11-05,2000,1590
2016-11-05,7,2308803
2016-11-05,8,135091
2016-11-05,8.1,546323
2016-11-05,NT,1808
2016-11-05,Server 2003,4612
2016-11-05,Vista,123426
2016-11-05,XP,156458
2016-11-06,(not set),1312
2016-11-06,10,3065554
2016-11-06,2000,1567
2016-11-06,7,2504741
2016-11-06,8,165447
2016-11-06,8.1,666209
2016-11-06,NT,1858
2016-11-06,Server 2003,4645
2016-11-06,Vista,134370
2016-11-06,XP,164364
2016-11-07,(not set),1310
2016-11-07,10,4991149
2016-11-07,2000,1709
2016-11-07,7,9207513
2016-11-07,8,207170
2016-11-07,8.1,1144119
2016-11-07,NT,1981
2016-11-07,Server 2003,7777
2016-11-07,Vista,185877
2016-11-07,XP,311341
2016-11-08,(not set),1311
2016-11-08,10,4491704
2016-11-08,2000,1644
2016-11-08,7,8355041
2016-11-08,8,179227
2016-11-08,8.1,1027386
2016-11-08,NT,1866
2016-11-08,Server 2003,7500
2016-11-08,Vista,165693
2016-11-08,XP,275691
2016-11-09,(not set),1281
2016-11-09,10,4577897
2016-11-09,2000,1402
2016-11-09,7,8271269
2016-11-09,8,173941
2016-11-09,8.1,1025156
2016-11-09,NT,1733
2016-11-09,Server 2003,7406
2016-11-09,Vista,165267
2016-11-09,XP,266841
2016-11-10,(not set),1390
2016-11-10,10,4655816
2016-11-10,2000,1182
2016-11-10,7,8234835
2016-11-10,8,165216
2016-11-10,8.1,1016789
2016-11-10,NT,1457
2016-11-10,Server 2003,7393
2016-11-10,Vista,168194
2016-11-10,XP,267048
2016-11-11,(not set),1304
2016-11-11,10,3748752
2016-11-11,2000,1000
2016-11-11,7,5142420
2016-11-11,8,143196
2016-11-11,8.1,781556
2016-11-11,NT,1281
2016-11-11,Server 2003,6211
2016-11-11,Vista,146805
2016-11-11,XP,215622
2016-11-12,(not set),1253
2016-11-12,10,2705877
2016-11-12,2000,812
2016-11-12,7,2150650
2016-11-12,8,115443
2016-11-12,8.1,522254
2016-11-12,NT,1169
2016-11-12,Server 2003,3972
2016-11-12,Vista,119674
2016-11-12,XP,136327
2016-11-13,(not set),1344
2016-11-13,10,3041120
2016-11-13,2000,817
2016-11-13,7,2259935
2016-11-13,8,125493
2016-11-13,8.1,611430
2016-11-13,NT,1070
2016-11-13,Server 2003,4088
2016-11-13,Vista,125821
2016-11-13,XP,137426
2016-11-14,(not set),1435
2016-11-14,10,5208419
2016-11-14,2000,1019
2016-11-14,7,9176763
2016-11-14,8,179765
2016-11-14,8.1,1124979
2016-11-14,NT,1122
2016-11-14,Server 2003,6875
2016-11-14,Vista,184497
2016-11-14,XP,287976
2016-11-15,(not set),1375
2016-11-15,10,5012781
2016-11-15,2000,1060
2016-11-15,7,9062885
2016-11-15,8,174481
2016-11-15,8.1,1091266
2016-11-15,NT,1229
2016-11-15,Server 2003,7033
2016-11-15,Vista,178359
2016-11-15,XP,275810
2016-11-16,(not set),1337
2016-11-16,10,4935840
2016-11-16,2000,1001
2016-11-16,7,8873985
2016-11-16,8,172731
2016-11-16,8.1,1074715
2016-11-16,NT,1247
2016-11-16,Server 2003,6483
2016-11-16,Vista,177382
2016-11-16,XP,269582
2016-11-17,(not set),1349
2016-11-17,10,4776599
2016-11-17,2000,1025
2016-11-17,7,8648015
2016-11-17,8,167289
2016-11-17,8.1,1031019
2016-11-17,NT,1170
2016-11-17,Server 2003,6512
2016-11-17,Vista,174377
2016-11-17,XP,265683
2016-11-18,(not set),1291
2016-11-18,10,4123990
2016-11-18,2000,1036
2016-11-18,7,7341087
2016-11-18,8,144865
2016-11-18,8.1,875740
2016-11-18,NT,1169
2016-11-18,Server 2003,6150
2016-11-18,Vista,160570
2016-11-18,XP,230866
2016-11-19,(not set),1251
2016-11-19,10,2768802
2016-11-19,2000,792
2016-11-19,7,2224352
2016-11-19,8,111299
2016-11-19,8.1,522174
2016-11-19,NT,1084
2016-11-19,Server 2003,3506
2016-11-19,Vista,126811
2016-11-19,XP,140709
2016-11-20,(not set),1298
2016-11-20,10,3007243
2016-11-20,2000,749
2016-11-20,7,2254147
2016-11-20,8,117647
2016-11-20,8.1,585828
2016-11-20,NT,955
2016-11-20,Server 2003,3582
2016-11-20,Vista,128942
2016-11-20,XP,141415
2016-11-21,(not set),1458
2016-11-21,10,4956224
2016-11-21,2000,1046
2016-11-21,7,8767493
2016-11-21,8,169720
2016-11-21,8.1,1053418
2016-11-21,NT,1018
2016-11-21,Server 2003,6208
2016-11-21,Vista,178804
2016-11-21,XP,273296
2016-11-22,(not set),1440
2016-11-22,10,4565783
2016-11-22,2000,628
2016-11-22,7,8323589
2016-11-22,8,157412
2016-11-22,8.1,970004
2016-11-22,NT,238
2016-11-22,Server 2003,5858
2016-11-22,Vista,161154
2016-11-22,XP,256862
2016-11-23,(not set),1335
2016-11-23,10,3783796
2016-11-23,2000,535
2016-11-23,7,6445893
2016-11-23,8,141562
2016-11-23,8.1,801951
2016-11-23,NT,257
2016-11-23,Server 2003,5692
2016-11-23,Vista,140412
2016-11-23,XP,231583
2016-11-24,(not set),1325
2016-11-24,10,2120632
2016-11-24,2000,372
2016-11-24,7,2148935
2016-11-24,8,106195
2016-11-24,8.1,463484
2016-11-24,NT,192
2016-11-24,Server 2003,3889
2016-11-24,Vista,87911
2016-11-24,XP,159740
2016-11-25,(not set),1293
2016-11-25,10,2905599
2016-11-25,2000,432
2016-11-25,7,3341183
2016-11-25,8,108734
2016-11-25,8.1,564060
2016-11-25,NT,163
2016-11-25,Server 2003,4046
2016-11-25,Vista,120869
2016-11-25,XP,174181
2016-11-26,(not set),1127
2016-11-26,10,2637373
2016-11-26,2000,416
2016-11-26,7,1998055
2016-11-26,8,98969
2016-11-26,8.1,479277
2016-11-26,NT,144
2016-11-26,Server 2003,3534
2016-11-26,Vista,111180
2016-11-26,XP,131134
2016-11-27,(not set),1287
2016-11-27,10,3130722
2016-11-27,2000,400
2016-11-27,7,2213566
2016-11-27,8,113205
2016-11-27,8.1,580656
2016-11-27,NT,178
2016-11-27,Server 2003,3433
2016-11-27,Vista,124129
2016-11-27,XP,134544
2016-11-28,(not set),1438
2016-11-28,10,5401876
2016-11-28,2000,765
2016-11-28,7,9170084
2016-11-28,8,159295
2016-11-28,8.1,1110266
2016-11-28,NT,250
2016-11-28,Server 2003,5984
2016-11-28,Vista,183195
2016-11-28,XP,264157
2016-11-29,(not set),1372
2016-11-29,10,5454529
2016-11-29,2000,798
2016-11-29,7,9350156
2016-11-29,8,160521
2016-11-29,8.1,1121235
2016-11-29,NT,323
2016-11-29,Server 2003,6093
2016-11-29,Vista,181895
2016-11-29,XP,274752
2016-11-30,(not set),1411
2016-11-30,10,5377650
2016-11-30,2000,636
2016-11-30,7,9186942
2016-11-30,8,158887
2016-11-30,8.1,1098720
2016-11-30,NT,280
2016-11-30,Server 2003,5990
2016-11-30,Vista,181941
2016-11-30,XP,265731
2016-12-01,(not set),1285
2016-12-01,10,5109639
2016-12-01,2000,704
2016-12-01,7,8747613
2016-12-01,8,151784
2016-12-01,8.1,1045179
2016-12-01,NT,257
2016-12-01,Server 2003,6280
2016-12-01,Vista,171059
2016-12-01,XP,251617
2016-12-02,(not set),1308
2016-12-02,10,4551962
2016-12-02,2000,775
2016-12-02,7,7618521
2016-12-02,8,139061
2016-12-02,8.1,907408
2016-12-02,NT,310
2016-12-02,Server 2003,5426
2016-12-02,Vista,160952
2016-12-02,XP,228974
2016-12-03,(not set),1230
2016-12-03,10,3119281
2016-12-03,2000,467
2016-12-03,7,2331379
2016-12-03,8,108628
2016-12-03,8.1,540008
2016-12-03,NT,211
2016-12-03,Server 2003,3227
2016-12-03,Vista,128802
2016-12-03,XP,141630
2016-12-04,(not set),1287
2016-12-04,10,3349916
2016-12-04,2000,382
2016-12-04,7,2356539
2016-12-04,8,110315
2016-12-04,8.1,606627
2016-12-04,NT,188
2016-12-04,Server 2003,3152
2016-12-04,Vista,130167
2016-12-04,XP,138777
2016-12-05,(not set),1321
2016-12-05,10,5736297
2016-12-05,2000,743
2016-12-05,7,9559984
2016-12-05,8,162527
2016-12-05,8.1,1148509
2016-12-05,NT,365
2016-12-05,Server 2003,5723
2016-12-05,Vista,194122
2016-12-05,XP,275426
2016-12-06,(not set),1409
2016-12-06,10,5513756
2016-12-06,2000,711
2016-12-06,7,9389272
2016-12-06,8,161813
2016-12-06,8.1,1112500
2016-12-06,NT,288
2016-12-06,Server 2003,6155
2016-12-06,Vista,191011
2016-12-06,XP,269522
2016-12-07,(not set),1373
2016-12-07,10,5393200
2016-12-07,2000,689
2016-12-07,7,9213606
2016-12-07,8,153746
2016-12-07,8.1,1082876
2016-12-07,NT,294
2016-12-07,Server 2003,6077
2016-12-07,Vista,188190
2016-12-07,XP,264465
2016-12-08,(not set),1390
2016-12-08,10,5330609
2016-12-08,2000,786
2016-12-08,7,9040922
2016-12-08,8,146485
2016-12-08,8.1,1060276
2016-12-08,NT,320
2016-12-08,Server 2003,5979
2016-12-08,Vista,187155
2016-12-08,XP,256497
2016-12-09,(not set),1379
2016-12-09,10,4679127
2016-12-09,2000,627
2016-12-09,7,7749019
2016-12-09,8,149235
2016-12-09,8.1,920308
2016-12-09,NT,248
2016-12-09,Server 2003,5748
2016-12-09,Vista,172872
2016-12-09,XP,252085
2016-12-10,(not set),1245
2016-12-10,10,3181822
2016-12-10,2000,432
2016-12-10,7,2420401
2016-12-10,8,108659
2016-12-10,8.1,551477
2016-12-10,NT,210
2016-12-10,Server 2003,3773
2016-12-10,Vista,139165
2016-12-10,XP,170489
2016-12-11,(not set),1276
2016-12-11,10,3337586
2016-12-11,2000,424
2016-12-11,7,2378842
2016-12-11,8,106689
2016-12-11,8.1,592844
2016-12-11,NT,203
2016-12-11,Server 2003,3245
2016-12-11,Vista,138264
2016-12-11,XP,166585
2016-12-12,(not set),1331
2016-12-12,10,5612929
2016-12-12,2000,763
2016-12-12,7,9466284
2016-12-12,8,161151
2016-12-12,8.1,1119758
2016-12-12,NT,309
2016-12-12,Server 2003,6033
2016-12-12,Vista,194368
2016-12-12,XP,277566
2016-12-13,(not set),1376
2016-12-13,10,5443812
2016-12-13,2000,641
2016-12-13,7,9352121
2016-12-13,8,158331
2016-12-13,8.1,1088826
2016-12-13,NT,270
2016-12-13,Server 2003,6110
2016-12-13,Vista,190340
2016-12-13,XP,270094
