date,os,visits
2016-09-26,SymbianOS,374
2016-09-26,Windows,15553203
2016-09-26,Windows Phone,66073
2016-09-26,Xbox,1107
2016-09-26,iOS,5849727
2016-09-27,(not set),49510
2016-09-27,Android,4744389
2016-09-27,BlackBerry,19438
2016-09-27,Chrome OS,345207
2016-09-27,Firefox OS,310
2016-09-27,FreeBSD,431
2016-09-27,Google TV,190
2016-09-27,Linux,147990
2016-09-27,Macintosh,2568773
2016-09-27,Nintendo Wii,486
2016-09-27,Nokia,904
2016-09-27,Playstation 3,247
2016-09-27,Playstation Vita,182
2016-09-27,Samsung,1538
2016-09-27,SymbianOS,400
2016-09-27,Windows,15480588
2016-09-27,Windows Phone,67374
2016-09-27,Xbox,955
2016-09-27,iOS,5645237
2016-09-28,(not set),53491
2016-09-28,Android,4758238
2016-09-28,BlackBerry,19520
2016-09-28,Chrome OS,350409
2016-09-28,Firefox OS,346
2016-09-28,FreeBSD,427
2016-09-28,Google TV,185
2016-09-28,Linux,147494
2016-09-28,Macintosh,2551533
2016-09-28,Nintendo Wii,444
2016-09-28,Nokia,858
2016-09-28,Playstation 3,194
2016-09-28,Playstation Vita,223
2016-09-28,Samsung,1443
2016-09-28,SymbianOS,446
2016-09-28,Windows,15472108
2016-09-28,Windows Phone,68274
2016-09-28,Xbox,983
2016-09-28,iOS,5727873
2016-09-29,(not set),52546
2016-09-29,Android,4507798
2016-09-29,BlackBerry,18443
2016-09-29,Chrome OS,353450
2016-09-29,Firefox OS,326
2016-09-29,FreeBSD,362
2016-09-29,Google TV,187
2016-09-29,Linux,138560
2016-09-29,Macintosh,2423837
2016-09-29,Nintendo Wii,351
2016-09-29,Nokia,896
2016-09-29,Playstation 3,205
2016-09-29,Playstation Vita,197
2016-09-29,Samsung,1321
2016-09-29,SymbianOS,408
2016-09-29,Windows,14917285
2016-09-29,Windows Phone,63714
2016-09-29,Xbox,877
2016-09-29,iOS,5603681
2016-09-30,(not set),50703
2016-09-30,Android,4457095
2016-09-30,BlackBerry,17340
2016-09-30,Chrome OS,291796
2016-09-30,Firefox OS,309
2016-09-30,FreeBSD,320
2016-09-30,Google TV,187
2016-09-30,Linux,132755
2016-09-30,Macintosh,2082453
2016-09-30,Nintendo Wii,364
2016-09-30,Nokia,779
2016-09-30,Playstation 3,190
2016-09-30,Playstation Vita,234
2016-09-30,Samsung,1283
2016-09-30,SymbianOS,394
2016-09-30,Windows,12921474
2016-09-30,Windows Phone,63878
2016-09-30,Xbox,842
2016-09-30,iOS,5336732
2016-10-01,(not set),53169
2016-10-01,Android,4057239
2016-10-01,BlackBerry,16072
2016-10-01,Chrome OS,87394
2016-10-01,Firefox OS,278
2016-10-01,FreeBSD,252
2016-10-01,Google TV,150
2016-10-01,Linux,89447
2016-10-01,Macintosh,1461653
2016-10-01,Nintendo Wii,383
2016-10-01,Nokia,745
2016-10-01,Playstation 3,208
2016-10-01,Playstation Vita,212
2016-10-01,Samsung,1255
2016-10-01,SymbianOS,401
2016-10-01,Windows,5935893
2016-10-01,Windows Phone,61953
2016-10-01,Xbox,894
2016-10-01,iOS,4552164
2016-10-02,(not set),58136
2016-10-02,Android,3961580
2016-10-02,BlackBerry,16504
2016-10-02,Chrome OS,105155
2016-10-02,Firefox OS,321
2016-10-02,FreeBSD,274
2016-10-02,Google TV,173
2016-10-02,Linux,88030
2016-10-02,Macintosh,1676000
2016-10-02,Nintendo Wii,388
2016-10-02,Nokia,811
2016-10-02,Playstation 3,225
2016-10-02,Playstation Vita,233
2016-10-02,Samsung,1362
2016-10-02,SymbianOS,475
2016-10-02,Windows,6130711
2016-10-02,Windows Phone,64118
2016-10-02,Xbox,847
2016-10-02,iOS,4206480
2016-10-03,(not set),61047
2016-10-03,Android,4884708
2016-10-03,BlackBerry,18820
2016-10-03,Chrome OS,322900
2016-10-03,Firefox OS,358
2016-10-03,FreeBSD,309
2016-10-03,Google TV,160
2016-10-03,Linux,148421
2016-10-03,Macintosh,2703487
2016-10-03,Nintendo Wii,374
2016-10-03,Nokia,868
2016-10-03,Playstation 3,202
2016-10-03,Playstation Vita,229
2016-10-03,Samsung,1248
2016-10-03,SymbianOS,410
2016-10-03,Windows,15876002
2016-10-03,Windows Phone,70460
2016-10-03,Xbox,1036
2016-10-03,iOS,5682259
2016-10-04,(not set),57913
2016-10-04,Android,5033110
2016-10-04,BlackBerry,19145
2016-10-04,Chrome OS,358678
2016-10-04,Firefox OS,355
2016-10-04,FreeBSD,338
2016-10-04,Google TV,186
2016-10-04,Linux,157741
2016-10-04,Macintosh,2730129
2016-10-04,Nintendo Wii,378
2016-10-04,Nokia,1006
2016-10-04,Playstation 3,266
2016-10-04,Playstation Vita,249
2016-10-04,Samsung,1436
2016-10-04,SunOS,138
2016-10-04,SymbianOS,536
2016-10-04,Windows,16778574
2016-10-04,Windows Phone,69609
2016-10-04,Xbox,1134
2016-10-04,iOS,5979705
2016-10-05,(not set),52484
2016-10-05,Android,4910451
2016-10-05,BlackBerry,18983
2016-10-05,Chrome OS,359700
2016-10-05,Firefox OS,306
2016-10-05,FreeBSD,310
2016-10-05,Google TV,221
2016-10-05,Linux,152594
2016-10-05,Macintosh,2646122
2016-10-05,Nintendo Wii,460
2016-10-05,Nokia,924
2016-10-05,Playstation 3,244
2016-10-05,Playstation Vita,205
2016-10-05,Samsung,1296
2016-10-05,SunOS,113
2016-10-05,SymbianOS,455
2016-10-05,Windows,16395773
2016-10-05,Windows Phone,67251
2016-10-05,Xbox,1081
2016-10-05,iOS,6083078
2016-10-06,(not set),48925
2016-10-06,Android,4834318
2016-10-06,BlackBerry,18787
2016-10-06,Chrome OS,364995
2016-10-06,Firefox OS,325
2016-10-06,FreeBSD,359
2016-10-06,Google TV,213
2016-10-06,Linux,151551
2016-10-06,Macintosh,2550622
2016-10-06,Nintendo Wii,450
2016-10-06,Nokia,894
2016-10-06,Playstation 3,289
2016-10-06,Playstation Vita,251
2016-10-06,Samsung,1227
2016-10-06,SunOS,105
2016-10-06,SymbianOS,395
2016-10-06,Windows,15889256
2016-10-06,Windows Phone,65058
2016-10-06,Xbox,1297
2016-10-06,iOS,6121589
2016-10-07,(not set),45285
2016-10-07,Android,4318192
2016-10-07,BlackBerry,16381
2016-10-07,Chrome OS,277837
2016-10-07,Firefox OS,262
2016-10-07,FreeBSD,349
2016-10-07,Google TV,200
2016-10-07,Linux,136457
2016-10-07,Macintosh,2081770
2016-10-07,Nintendo Wii,391
2016-10-07,Nokia,830
2016-10-07,Playstation 3,231
2016-10-07,Playstation Vita,229
2016-10-07,Samsung,1166
2016-10-07,SymbianOS,333
2016-10-07,Windows,13086608
2016-10-07,Windows Phone,58433
2016-10-07,Xbox,1115
2016-10-07,iOS,5441226
2016-10-08,(not set),40798
2016-10-08,Android,3895977
2016-10-08,BlackBerry,14189
2016-10-08,Chrome OS,84042
2016-10-08,Firefox OS,240
2016-10-08,FreeBSD,316
2016-10-08,Google TV,149
2016-10-08,Linux,88467
2016-10-08,Macintosh,1407062
2016-10-08,Nintendo Wii,390
2016-10-08,Nokia,713
2016-10-08,Playstation 3,214
2016-10-08,Playstation Vita,189
2016-10-08,Samsung,1109
2016-10-08,SymbianOS,318
2016-10-08,Windows,6129731
2016-10-08,Windows Phone,49627
2016-10-08,Xbox,946
2016-10-08,iOS,4595285
2016-10-09,(not set),40883
2016-10-09,Android,3282408
2016-10-09,BlackBerry,13485
2016-10-09,Chrome OS,94045
2016-10-09,Firefox OS,266
2016-10-09,FreeBSD,260
2016-10-09,Google TV,188
2016-10-09,Linux,82026
2016-10-09,Macintosh,1519054
2016-10-09,Nintendo Wii,315
2016-10-09,Nokia,711
2016-10-09,Playstation 3,205
2016-10-09,Playstation Vita,185
2016-10-09,Samsung,1090
2016-10-09,SymbianOS,384
2016-10-09,Windows,5938617
2016-10-09,Windows Phone,47534
2016-10-09,Xbox,807
2016-10-09,iOS,3889862
2016-10-10,(not set),43057
2016-10-10,Android,4010600
2016-10-10,BlackBerry,15010
2016-10-10,Chrome OS,258465
2016-10-10,Firefox OS,299
2016-10-10,FreeBSD,334
2016-10-10,Google TV,151
2016-10-10,Linux,127259
2016-10-10,Macintosh,2372834
2016-10-10,Nintendo Wii,400
2016-10-10,Nokia,737
2016-10-10,Playstation 3,198
2016-10-10,Playstation Vita,230
2016-10-10,Samsung,1161
2016-10-10,SymbianOS,320
2016-10-10,Windows,12618260
2016-10-10,Windows Phone,55269
2016-10-10,Xbox,974
2016-10-10,iOS,4916296
2016-10-11,(not set),47906
2016-10-11,Android,4644330
2016-10-11,BlackBerry,16263
2016-10-11,Chrome OS,348056
2016-10-11,Firefox OS,350
2016-10-11,FreeBSD,281
2016-10-11,Google TV,167
2016-10-11,Linux,138921
2016-10-11,Macintosh,2609306
2016-10-11,Nintendo Wii,398
2016-10-11,Nokia,735
2016-10-11,Playstation 3,174
2016-10-11,Playstation Vita,228
2016-10-11,Samsung,1198
2016-10-11,SunOS,107
2016-10-11,SymbianOS,363
2016-10-11,Windows,15762490
2016-10-11,Windows Phone,58882
2016-10-11,Xbox,1157
2016-10-11,iOS,5896886
2016-10-12,(not set),45224
2016-10-12,Android,4425286
2016-10-12,BlackBerry,17099
2016-10-12,Chrome OS,329098
2016-10-12,Firefox OS,305
2016-10-12,FreeBSD,307
2016-10-12,Google TV,169
2016-10-12,Linux,132858
2016-10-12,Macintosh,2549342
2016-10-12,Nintendo Wii,369
2016-10-12,Nokia,750
2016-10-12,Playstation 3,221
2016-10-12,Playstation Vita,241
2016-10-12,Samsung,1269
2016-10-12,SymbianOS,356
2016-10-12,Windows,15473901
2016-10-12,Windows Phone,58256
2016-10-12,Xbox,963
2016-10-12,iOS,5688358
2016-10-13,(not set),45968
2016-10-13,Android,4349272
2016-10-13,BlackBerry,16563
2016-10-13,Chrome OS,355659
2016-10-13,Firefox OS,320
2016-10-13,FreeBSD,298
2016-10-13,Google TV,143
2016-10-13,Linux,139680
2016-10-13,Macintosh,2510361
2016-10-13,Nintendo Wii,402
2016-10-13,Nokia,838
2016-10-13,Playstation 3,230
2016-10-13,Playstation Vita,157
2016-10-13,Samsung,1176
2016-10-13,SunOS,133
2016-10-13,SymbianOS,314
2016-10-13,Windows,15491980
2016-10-13,Windows Phone,57226
2016-10-13,Xbox,1062
2016-10-13,iOS,5649748
2016-10-14,(not set),42364
2016-10-14,Android,4077429
2016-10-14,BlackBerry,15151
2016-10-14,Chrome OS,288025
2016-10-14,Firefox OS,297
2016-10-14,FreeBSD,338
2016-10-14,Google TV,187
2016-10-14,Linux,130864
2016-10-14,Macintosh,2158225
2016-10-14,Nintendo Wii,348
2016-10-14,Nokia,693
2016-10-14,Playstation 3,238
2016-10-14,Playstation Vita,180
2016-10-14,Samsung,1119
2016-10-14,SymbianOS,349
2016-10-14,Windows,13448487
2016-10-14,Windows Phone,53507
2016-10-14,Xbox,933
2016-10-14,iOS,5285932
2016-10-15,(not set),39225
2016-10-15,Android,3496960
2016-10-15,BlackBerry,13741
2016-10-15,Chrome OS,86843
2016-10-15,Firefox OS,262
2016-10-15,FreeBSD,272
2016-10-15,Google TV,167
2016-10-15,Linux,89073
2016-10-15,Macintosh,1506426
2016-10-15,Nintendo Wii,358
2016-10-15,Nokia,671
2016-10-15,Playstation 3,252
2016-10-15,Playstation Vita,186
2016-10-15,Samsung,1109
2016-10-15,SymbianOS,297
2016-10-15,Windows,6299547
2016-10-15,Windows Phone,47951
2016-10-15,Xbox,912
2016-10-15,iOS,4449480
2016-10-16,(not set),41942
2016-10-16,Android,3274874
2016-10-16,BlackBerry,13805
2016-10-16,Chrome OS,108984
2016-10-16,Firefox OS,281
2016-10-16,FreeBSD,280
2016-10-16,Google TV,137
2016-10-16,Linux,82892
2016-10-16,Macintosh,1729498
2016-10-16,Nintendo Wii,349
2016-10-16,Nokia,738
2016-10-16,Playstation 3,249
2016-10-16,Playstation Vita,193
2016-10-16,Samsung,1057
2016-10-16,SymbianOS,338
2016-10-16,Windows,6505842
2016-10-16,Windows Phone,46518
2016-10-16,Xbox,946
2016-10-16,iOS,4066357
2016-10-17,(not set),44313
2016-10-17,Android,4449763
2016-10-17,BlackBerry,16413
2016-10-17,Chrome OS,348237
2016-10-17,Firefox OS,335
2016-10-17,FreeBSD,347
2016-10-17,Google TV,193
2016-10-17,Linux,138364
2016-10-17,Macintosh,2779365
2016-10-17,Nintendo Wii,393
2016-10-17,Nokia,667
2016-10-17,Playstation 3,253
2016-10-17,Playstation Vita,188
2016-10-17,Samsung,1178
2016-10-17,SunOS,126
2016-10-17,SymbianOS,331
2016-10-17,Windows,16336906
2016-10-17,Windows Phone,57342
2016-10-17,Xbox,1079
2016-10-17,iOS,5733224
2016-10-18,(not set),44717
2016-10-18,Android,4312514
2016-10-18,BlackBerry,16748
2016-10-18,Chrome OS,370667
2016-10-18,Firefox OS,311
2016-10-18,FreeBSD,309
2016-10-18,Google TV,146
2016-10-18,Linux,134872
2016-10-18,Macintosh,2589206
2016-10-18,Nintendo Wii,343
2016-10-18,Nokia,745
2016-10-18,Playstation 3,284
2016-10-18,Playstation Vita,175
2016-10-18,Samsung,1223
2016-10-18,SymbianOS,314
2016-10-18,Windows,15649700
2016-10-18,Windows Phone,56459
2016-10-18,Xbox,1032
2016-10-18,iOS,5482341
2016-10-19,(not set),44857
2016-10-19,Android,4355380
2016-10-19,BlackBerry,16547
2016-10-19,Chrome OS,334412
2016-10-19,Firefox OS,348
2016-10-19,FreeBSD,337
2016-10-19,Google TV,176
2016-10-19,Linux,133099
2016-10-19,Macintosh,2515406
2016-10-19,Nintendo Wii,286
2016-10-19,Nokia,716
2016-10-19,Playstation 3,243
2016-10-19,Playstation Vita,181
2016-10-19,Samsung,1138
2016-10-19,SunOS,113
2016-10-19,SymbianOS,339
2016-10-19,Windows,15201149
2016-10-19,Windows Phone,56211
2016-10-19,Xbox,925
2016-10-19,iOS,5601054
2016-10-20,(not set),44716
2016-10-20,Android,4242160
2016-10-20,BlackBerry,16706
2016-10-20,Chrome OS,347191
2016-10-20,Firefox OS,303
2016-10-20,FreeBSD,342
2016-10-20,Google TV,156
2016-10-20,Linux,127753
2016-10-20,Macintosh,2412962
2016-10-20,Nintendo Wii,351
2016-10-20,Nokia,759
2016-10-20,Playstation 3,259
2016-10-20,Playstation Vita,237
2016-10-20,Samsung,1140
2016-10-20,SymbianOS,340
2016-10-20,Windows,14736719
2016-10-20,Windows Phone,54960
2016-10-20,Xbox,1004
2016-10-20,iOS,5465466
2016-10-21,(not set),40878
2016-10-21,Android,3900566
2016-10-21,BlackBerry,15001
2016-10-21,Chrome OS,289691
2016-10-21,Firefox OS,290
2016-10-21,FreeBSD,326
2016-10-21,Google TV,161
2016-10-21,Linux,120460
2016-10-21,Macintosh,2077984
2016-10-21,Nintendo Wii,310
2016-10-21,Nokia,658
2016-10-21,Playstation 3,237
2016-10-21,Playstation Vita,172
2016-10-21,Samsung,1144
2016-10-21,SymbianOS,335
2016-10-21,Windows,12800183
2016-10-21,Windows Phone,50747
2016-10-21,Xbox,849
2016-10-21,iOS,4996850
2016-10-22,(not set),40272
2016-10-22,Android,3241520
2016-10-22,BlackBerry,12474
2016-10-22,Chrome OS,79971
2016-10-22,Firefox OS,267
2016-10-22,FreeBSD,229
2016-10-22,Google TV,164
2016-10-22,Linux,80459
2016-10-22,Macintosh,1377498
2016-10-22,Nintendo Wii,344
2016-10-22,Nokia,654
2016-10-22,Playstation 3,232
2016-10-22,Playstation Vita,172
2016-10-22,Samsung,1051
2016-10-22,SymbianOS,286
2016-10-22,Windows,5682074
2016-10-22,Windows Phone,44004
2016-10-22,Xbox,730
2016-10-22,iOS,4021591
2016-10-23,(not set),42718
2016-10-23,Android,3080562
2016-10-23,BlackBerry,12714
2016-10-23,Chrome OS,101247
2016-10-23,Firefox OS,190
2016-10-23,FreeBSD,232
2016-10-23,Google TV,127
2016-10-23,Linux,78664
2016-10-23,Macintosh,1609146
2016-10-23,Nintendo Wii,268
2016-10-23,Nokia,681
2016-10-23,Playstation 3,229
2016-10-23,Playstation Vita,166
2016-10-23,Samsung,1084
2016-10-23,SymbianOS,289
2016-10-23,Windows,5968431
2016-10-23,Windows Phone,43493
2016-10-23,Xbox,703
2016-10-23,iOS,3698165
2016-10-24,(not set),45657
2016-10-24,Android,4230586
2016-10-24,BlackBerry,15899
2016-10-24,Chrome OS,359830
2016-10-24,Firefox OS,310
2016-10-24,FreeBSD,283
2016-10-24,Google TV,173
2016-10-24,Linux,131229
2016-10-24,Macintosh,2699644
2016-10-24,Nintendo Wii,301
2016-10-24,Nokia,738
2016-10-24,Playstation 3,258
2016-10-24,Playstation Vita,173
2016-10-24,Samsung,1117
2016-10-24,SunOS,134
2016-10-24,SymbianOS,290
2016-10-24,Windows,15844495
2016-10-24,Windows Phone,53877
2016-10-24,Xbox,890
2016-10-24,iOS,5366854
2016-10-25,(not set),45517
2016-10-25,Android,4254071
2016-10-25,BlackBerry,15979
2016-10-25,Chrome OS,389206
2016-10-25,Firefox OS,300
2016-10-25,FreeBSD,298
2016-10-25,Google TV,165
2016-10-25,Linux,129734
2016-10-25,Macintosh,2618328
2016-10-25,Nintendo Wii,328
2016-10-25,Nokia,712
2016-10-25,Playstation 3,231
2016-10-25,Playstation Vita,197
2016-10-25,Samsung,1173
2016-10-25,SunOS,108
2016-10-25,SymbianOS,327
2016-10-25,Windows,15705817
2016-10-25,Windows Phone,53894
2016-10-25,Xbox,853
2016-10-25,iOS,5417373
2016-10-26,(not set),43643
2016-10-26,Android,3059548
2016-10-26,BlackBerry,11634
2016-10-26,Chrome OS,308956
2016-10-26,Firefox OS,282
2016-10-26,FreeBSD,172
2016-10-26,Google TV,109
2016-10-26,Linux,93329
2016-10-26,Macintosh,1785528
2016-10-26,Nintendo Wii,242
2016-10-26,Nokia,695
2016-10-26,Playstation 3,173
2016-10-26,Playstation Vita,141
2016-10-26,Samsung,940
2016-10-26,SymbianOS,352
2016-10-26,Windows,9898014
2016-10-26,Windows Phone,40889
2016-10-26,Xbox,733
2016-10-26,iOS,4000297
2016-10-27,(not set),48296
2016-10-27,Android,4202085
2016-10-27,BlackBerry,15242
2016-10-27,Chrome OS,381702
2016-10-27,Firefox OS,296
2016-10-27,FreeBSD,319
2016-10-27,Google TV,185
2016-10-27,Linux,131258
2016-10-27,Macintosh,2494334
2016-10-27,Nintendo Wii,330
2016-10-27,Nokia,803
2016-10-27,Playstation 3,244
2016-10-27,Playstation Vita,199
2016-10-27,Samsung,1130
2016-10-27,SunOS,115
2016-10-27,SymbianOS,345
2016-10-27,Windows,15441532
2016-10-27,Windows Phone,52536
2016-10-27,Xbox,796
2016-10-27,iOS,5470975
2016-10-28,(not set),42029
2016-10-28,Android,3757581
2016-10-28,BlackBerry,13198
2016-10-28,Chrome OS,300371
2016-10-28,Firefox OS,244
2016-10-28,FreeBSD,291
2016-10-28,Google TV,175
2016-10-28,Linux,117273
2016-10-28,Macintosh,2018133
2016-10-28,Nintendo Wii,255
2016-10-28,Nokia,615
2016-10-28,Playstation 3,210
2016-10-28,Playstation Vita,181
2016-10-28,Samsung,928
2016-10-28,SymbianOS,315
2016-10-28,Windows,12794044
2016-10-28,Windows Phone,47301
2016-10-28,Xbox,829
2016-10-28,iOS,4908593
2016-10-29,(not set),37811
2016-10-29,Android,3075564
2016-10-29,BlackBerry,11491
2016-10-29,Chrome OS,78628
2016-10-29,Firefox OS,188
2016-10-29,FreeBSD,240
2016-10-29,Google TV,162
2016-10-29,Linux,79464
2016-10-29,Macintosh,1344579
2016-10-29,Nintendo Wii,312
2016-10-29,Nokia,567
2016-10-29,Playstation 3,167
2016-10-29,Playstation Vita,162
2016-10-29,Samsung,873
2016-10-29,SymbianOS,259
2016-10-29,Windows,5802889
2016-10-29,Windows Phone,40547
2016-10-29,Xbox,716
2016-10-29,iOS,3922850
2016-10-30,(not set),39558
2016-10-30,Android,3001583
2016-10-30,BlackBerry,12570
2016-10-30,Chrome OS,103625
2016-10-30,Firefox OS,228
2016-10-30,FreeBSD,286
2016-10-30,Google TV,181
2016-10-30,Linux,82267
2016-10-30,Macintosh,1638510
2016-10-30,Nintendo Wii,363
2016-10-30,Nokia,632
2016-10-30,Playstation 3,181
2016-10-30,Playstation Vita,171
2016-10-30,Samsung,901
2016-10-30,SymbianOS,276
2016-10-30,Windows,6282668
2016-10-30,Windows Phone,43043
2016-10-30,Xbox,753
2016-10-30,iOS,3719333
2016-10-31,(not set),42588
2016-10-31,Android,3678831
2016-10-31,BlackBerry,14156
2016-10-31,Chrome OS,312800
2016-10-31,Firefox OS,243
2016-10-31,FreeBSD,299
2016-10-31,Google TV,162
2016-10-31,Linux,126447
2016-10-31,Macintosh,2478621
2016-10-31,Nintendo Wii,323
