date,browser,visits
2016-09-25,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2778
2016-09-25,SeaMonkey,1783
2016-09-25,Nokia Browser,936
2016-09-25,Iron,710
2016-09-25,MRCHROME,578
2016-09-25,osee2unifiedRelease,523
2016-09-25,YE,481
2016-09-25,Nintendo Browser,437
2016-09-25,pa11y,340
2016-09-25,Mozilla,309
2016-09-25,IE with Chrome Frame,300
2016-09-25,NetFront,275
2016-09-25,Nichrome,249
2016-09-25,Playstation 3,232
2016-09-25,Playstation Vita Browser,188
2016-09-25,(not set),163
2016-09-25,Job Search,149
2016-09-25,Tracker,131
2016-09-25,DDG-Android-3.0.12,122
2016-09-25,Netscape,120
2016-09-26,Chrome,13496762
2016-09-26,Safari,6442784
2016-09-26,Internet Explorer,5320472
2016-09-26,Firefox,2273172
2016-09-26,Edge,919986
2016-09-26,Safari (in-app),514010
2016-09-26,Android Browser,202556
2016-09-26,Opera,131800
2016-09-26,Opera Mini,75357
2016-09-26,Amazon Silk,72676
2016-09-26,UC Browser,55072
2016-09-26,BlackBerry,16739
2016-09-26,YaBrowser,11829
2016-09-26,Coc Coc,9022
2016-09-26,Maxthon,5446
2016-09-26,Mozilla Compatible Agent,4908
2016-09-26,ELB-HealthChecker,4544
2016-09-26,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2734
2016-09-26,SeaMonkey,2648
2016-09-26,Iron,1572
2016-09-26,IE with Chrome Frame,1023
2016-09-26,Nokia Browser,986
2016-09-26,MRCHROME,799
2016-09-26,YE,663
2016-09-26,Mozilla,593
2016-09-26,Nintendo Browser,450
2016-09-26,Nichrome,425
2016-09-26,osee2unifiedRelease,412
2016-09-26,pa11y,400
2016-09-26,Playstation 3,271
2016-09-26,NetFront,269
2016-09-26,Playstation Vita Browser,230
2016-09-26,Job Search,189
2016-09-26,Netscape,172
2016-09-26,Tracker,138
2016-09-26,DDG-Android-3.0.12,137
2016-09-26,Phantom Browser,119
2016-09-26,Android Runtime,118
2016-09-26,(not set),112
2016-09-26,ios-app,108
2016-09-27,Chrome,13237868
2016-09-27,Safari,6280889
2016-09-27,Internet Explorer,5308257
2016-09-27,Firefox,2225947
2016-09-27,Edge,907083
2016-09-27,Safari (in-app),460487
2016-09-27,Android Browser,201593
2016-09-27,Opera,154537
2016-09-27,Opera Mini,82062
2016-09-27,UC Browser,76569
2016-09-27,Amazon Silk,71571
2016-09-27,BlackBerry,17406
2016-09-27,YaBrowser,13571
2016-09-27,Coc Coc,6394
2016-09-27,Maxthon,5218
2016-09-27,Mozilla Compatible Agent,4589
2016-09-27,ELB-HealthChecker,4537
2016-09-27,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,2776
2016-09-27,SeaMonkey,2562
2016-09-27,Iron,1711
2016-09-27,Nokia Browser,1284
2016-09-27,IE with Chrome Frame,1038
2016-09-27,MRCHROME,988
2016-09-27,YE,689
2016-09-27,Nintendo Browser,534
2016-09-27,Mozilla,489
2016-09-27,Nichrome,455
2016-09-27,NetFront,360
2016-09-27,Job Search,258
2016-09-27,Playstation 3,247
2016-09-27,osee2unifiedRelease,200
2016-09-27,Playstation Vita Browser,182
2016-09-27,Netscape,167
2016-09-27,Android Runtime,150
2016-09-27,Tracker,146
2016-09-27,DDG-Android-3.0.12,130
2016-09-27,ios-app,116
2016-09-27,Phantom Browser,109
2016-09-28,Chrome,13190023
2016-09-28,Safari,6408821
2016-09-28,Internet Explorer,5312777
2016-09-28,Firefox,2231433
2016-09-28,Edge,910056
2016-09-28,Safari (in-app),419271
2016-09-28,Android Browser,205999
2016-09-28,Opera,164705
2016-09-28,UC Browser,82930
2016-09-28,Opera Mini,82826
2016-09-28,Amazon Silk,74929
2016-09-28,BlackBerry,17519
2016-09-28,YaBrowser,14353
2016-09-28,ELB-HealthChecker,7111
2016-09-28,Maxthon,5221
2016-09-28,Mozilla Compatible Agent,5051
2016-09-28,Coc Coc,4611
2016-09-28,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3923
2016-09-28,SeaMonkey,2674
2016-09-28,Iron,2093
2016-09-28,Nokia Browser,1262
2016-09-28,IE with Chrome Frame,993
2016-09-28,MRCHROME,936
2016-09-28,YE,567
2016-09-28,Nintendo Browser,497
2016-09-28,Mozilla,484
2016-09-28,Nichrome,421
2016-09-28,NetFront,364
2016-09-28,Job Search,243
2016-09-28,Playstation Vita Browser,223
2016-09-28,Netscape,196
2016-09-28,Playstation 3,194
2016-09-28,DDG-Android-3.0.12,180
2016-09-28,Tracker,142
2016-09-28,osee2unifiedRelease,140
2016-09-28,Phantom Browser,115
2016-09-28,ios-app,114
2016-09-28,Uzbl,101
2016-09-29,Chrome,12634051
2016-09-29,Safari,6220333
2016-09-29,Internet Explorer,5172735
2016-09-29,Firefox,2148538
2016-09-29,Edge,879465
2016-09-29,Safari (in-app),418473
2016-09-29,Android Browser,193926
2016-09-29,Opera,132051
2016-09-29,Opera Mini,78945
2016-09-29,Amazon Silk,73093
2016-09-29,UC Browser,64864
2016-09-29,BlackBerry,16486
2016-09-29,YaBrowser,13524
2016-09-29,ELB-HealthChecker,7444
2016-09-29,Maxthon,5133
2016-09-29,Mozilla Compatible Agent,4792
2016-09-29,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,4490
2016-09-29,Coc Coc,4348
2016-09-29,SeaMonkey,2621
2016-09-29,Iron,1705
2016-09-29,Nokia Browser,1134
2016-09-29,IE with Chrome Frame,1053
2016-09-29,MRCHROME,746
2016-09-29,Mozilla,432
2016-09-29,Nintendo Browser,413
2016-09-29,Nichrome,398
2016-09-29,NetFront,387
2016-09-29,YE,238
2016-09-29,osee2unifiedRelease,229
2016-09-29,Playstation 3,205
2016-09-29,Playstation Vita Browser,197
2016-09-29,Netscape,174
2016-09-29,Tracker,149
2016-09-29,DDG-Android-3.0.12,147
2016-09-29,ios-app,144
2016-09-29,Uzbl,106
2016-09-29,Android Runtime,105
2016-09-29,Job Search,103
2016-09-30,Chrome,11387819
2016-09-30,Safari,5748059
2016-09-30,Internet Explorer,4487459
2016-09-30,Firefox,1924598
2016-09-30,Edge,775650
2016-09-30,Safari (in-app),463935
2016-09-30,Android Browser,190226
2016-09-30,Opera,96175
2016-09-30,UC Browser,86725
2016-09-30,Opera Mini,70541
2016-09-30,Amazon Silk,67678
2016-09-30,BlackBerry,15742
2016-09-30,YaBrowser,9826
2016-09-30,ELB-HealthChecker,7497
2016-09-30,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,4357
2016-09-30,Maxthon,4145
2016-09-30,Mozilla Compatible Agent,4143
2016-09-30,Coc Coc,3774
2016-09-30,SeaMonkey,2375
2016-09-30,Nokia Browser,1275
2016-09-30,Iron,1079
2016-09-30,IE with Chrome Frame,953
2016-09-30,MRCHROME,687
2016-09-30,Nintendo Browser,408
2016-09-30,Mozilla,405
2016-09-30,NetFront,341
2016-09-30,Nichrome,339
2016-09-30,Playstation Vita Browser,234
2016-09-30,Playstation 3,190
2016-09-30,Netscape,182
2016-09-30,YE,179
2016-09-30,Emb,177
2016-09-30,osee2unifiedRelease,167
2016-09-30,Tracker,149
2016-09-30,DDG-Android-3.0.12,131
2016-09-30,(not set),113
2016-09-30,Uzbl,113
2016-09-30,Phantom Browser,110
2016-09-30,Job Search,109
2016-09-30,ios-app,107
2016-10-01,Chrome,7527978
2016-10-01,Safari,4774611
2016-10-01,Internet Explorer,1323033
2016-10-01,Firefox,1133561
2016-10-01,Edge,576369
2016-10-01,Safari (in-app),409454
2016-10-01,Android Browser,179871
2016-10-01,UC Browser,118037
2016-10-01,Opera,86813
2016-10-01,Opera Mini,69924
2016-10-01,Amazon Silk,65533
2016-10-01,BlackBerry,14752
2016-10-01,YaBrowser,9074
2016-10-01,ELB-HealthChecker,7479
2016-10-01,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,4470
2016-10-01,Coc Coc,3435
2016-10-01,Mozilla Compatible Agent,3301
2016-10-01,Maxthon,3251
2016-10-01,SeaMonkey,1858
2016-10-01,Nokia Browser,1497
2016-10-01,Iron,879
2016-10-01,MRCHROME,576
2016-10-01,Nintendo Browser,413
2016-10-01,Mozilla,383
2016-10-01,IE with Chrome Frame,307
2016-10-01,NetFront,298
2016-10-01,Nichrome,261
2016-10-01,Playstation Vita Browser,212
2016-10-01,Playstation 3,208
2016-10-01,Netscape,173
2016-10-01,DDG-Android-3.0.12,160
2016-10-01,YE,145
2016-10-01,Tracker,144
2016-10-01,(not set),109
2016-10-02,Chrome,7695473
2016-10-02,Safari,4605082
2016-10-02,Internet Explorer,1264666
2016-10-02,Firefox,1157984
2016-10-02,Edge,618371
2016-10-02,Safari (in-app),352542
2016-10-02,Android Browser,183947
2016-10-02,UC Browser,138331
2016-10-02,Opera,93844
2016-10-02,Opera Mini,78108
2016-10-02,Amazon Silk,66618
2016-10-02,BlackBerry,15000
2016-10-02,YaBrowser,10107
2016-10-02,ELB-HealthChecker,7590
2016-10-02,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,4330
2016-10-02,Coc Coc,4024
2016-10-02,Maxthon,3532
2016-10-02,Mozilla Compatible Agent,3002
2016-10-02,Nokia Browser,1846
2016-10-02,SeaMonkey,1797
2016-10-02,Iron,941
2016-10-02,MRCHROME,710
2016-10-02,Nintendo Browser,440
2016-10-02,Mozilla,408
2016-10-02,IE with Chrome Frame,314
2016-10-02,NetFront,309
2016-10-02,Nichrome,253
2016-10-02,Playstation Vita Browser,233
2016-10-02,Playstation 3,225
2016-10-02,Netscape,168
2016-10-02,YE,141
2016-10-02,DDG-Android-3.0.12,134
2016-10-02,Tracker,117
2016-10-02,Job Search,115
2016-10-03,Chrome,13527006
2016-10-03,Safari,6454357
2016-10-03,Internet Explorer,5415372
2016-10-03,Firefox,2306494
2016-10-03,Edge,965620
2016-10-03,Safari (in-app),403934
2016-10-03,Android Browser,208299
2016-10-03,Opera,130643
2016-10-03,UC Browser,127122
2016-10-03,Opera Mini,89799
2016-10-03,Amazon Silk,74861
2016-10-03,BlackBerry,16892
2016-10-03,YaBrowser,13414
2016-10-03,ELB-HealthChecker,7473
2016-10-03,Coc Coc,5057
2016-10-03,Maxthon,4921
2016-10-03,Mozilla Compatible Agent,4809
2016-10-03,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,4449
2016-10-03,SeaMonkey,2670
2016-10-03,Iron,1672
2016-10-03,Nokia Browser,1579
2016-10-03,IE with Chrome Frame,1035
2016-10-03,MRCHROME,959
2016-10-03,pa11y,862
2016-10-03,Mozilla,498
2016-10-03,Nintendo Browser,422
2016-10-03,Nichrome,348
2016-10-03,NetFront,335
2016-10-03,Playstation Vita Browser,229
2016-10-03,Playstation 3,202
2016-10-03,YE,193
2016-10-03,Netscape,178
2016-10-03,DDG-Android-3.0.12,153
2016-10-03,Tracker,129
2016-10-04,Chrome,14177913
2016-10-04,Safari,6677723
2016-10-04,Internet Explorer,5696425
2016-10-04,Firefox,2450986
2016-10-04,Edge,997446
2016-10-04,Safari (in-app),477118
2016-10-04,Android Browser,226806
2016-10-04,Opera,144011
2016-10-04,Opera Mini,94715
2016-10-04,UC Browser,92452
2016-10-04,Amazon Silk,78013
2016-10-04,YaBrowser,17540
2016-10-04,BlackBerry,17099
2016-10-04,ELB-HealthChecker,7389
2016-10-04,Maxthon,6218
2016-10-04,Coc Coc,5203
2016-10-04,Mozilla Compatible Agent,5096
2016-10-04,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,4569
2016-10-04,SeaMonkey,2814
2016-10-04,Iron,1834
2016-10-04,Nokia Browser,1471
2016-10-04,MRCHROME,1370
2016-10-04,IE with Chrome Frame,1212
2016-10-04,Mozilla,681
2016-10-04,Uzbl,667
2016-10-04,Nintendo Browser,414
2016-10-04,NetFront,365
2016-10-04,Nichrome,363
2016-10-04,Playstation 3,266
2016-10-04,Playstation Vita Browser,249
2016-10-04,YE,236
2016-10-04,Netscape,162
2016-10-04,DDG-Android-3.0.12,156
2016-10-04,Tracker,135
2016-10-04,(not set),122
2016-10-04,Android Runtime,108
2016-10-04,Phantom Browser,102
2016-10-05,Chrome,13853558
2016-10-05,Safari,6735629
2016-10-05,Internet Explorer,5576070
2016-10-05,Firefox,2391038
2016-10-05,Edge,973765
2016-10-05,Safari (in-app),479917
2016-10-05,Android Browser,215057
2016-10-05,Opera,151280
2016-10-05,Opera Mini,85414
2016-10-05,Amazon Silk,79816
2016-10-05,UC Browser,73115
2016-10-05,YaBrowser,17064
2016-10-05,BlackBerry,16979
2016-10-05,ELB-HealthChecker,7102
2016-10-05,Maxthon,5811
2016-10-05,Mozilla Compatible Agent,5506
2016-10-05,Coc Coc,5412
2016-10-05,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3862
2016-10-05,SeaMonkey,2732
2016-10-05,Uzbl,2096
2016-10-05,Iron,2018
2016-10-05,IE with Chrome Frame,1332
2016-10-05,MRCHROME,1329
2016-10-05,Nokia Browser,1221
2016-10-05,Mozilla,541
2016-10-05,Nichrome,539
2016-10-05,Nintendo Browser,490
2016-10-05,pa11y,420
2016-10-05,NetFront,342
2016-10-05,Playstation 3,244
2016-10-05,Playstation Vita Browser,205
2016-10-05,YE,203
2016-10-05,DDG-Android-3.0.12,179
2016-10-05,Netscape,175
2016-10-05,Android Runtime,144
2016-10-05,Tracker,136
2016-10-05,Phantom Browser,115
2016-10-05,ios-app,111
2016-10-05,(not set),108
2016-10-05,Job Search,108
2016-10-06,Chrome,13460937
2016-10-06,Safari,6704007
2016-10-06,Internet Explorer,5402914
2016-10-06,Firefox,2333472
2016-10-06,Edge,960736
2016-10-06,Safari (in-app),500044
2016-10-06,Android Browser,205322
2016-10-06,Opera,181398
2016-10-06,Amazon Silk,85234
2016-10-06,Opera Mini,78596
2016-10-06,UC Browser,61663
2016-10-06,YaBrowser,17994
2016-10-06,BlackBerry,16883
