page_title,event_label,page,total_events
Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/f1040.pdf,irs.gov/,23022
Apply for Citizenship | USCIS,https://www.uscis.gov/sites/default/files/USCIS/Resources/Citizenship%20,uscis.gov/citizenship/learners/apply-citizenship,21890
Forms & Pubs,https://www.irs.gov/pub/irs-pdf/f1040.pdf,irs.gov/forms-pubs,21890
Application for Travel Document | USCIS,https://www.uscis.gov/system/files_force/files/form/i-131.pdf,uscis.gov/i-131,21701
"Form 4506-T, Request for Transcript of Tax Return",https://www.irs.gov/pub/irs-pdf/f4506t.pdf,irs.gov/uac/about-form-4506t,20192
Application for Employment Authorization | USCIS,https://www.uscis.gov/system/files_force/files/form/i-765instr.pdf,uscis.gov/i-765,19814
Premiums,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/premiums/2017/nonpostal-ffs.pdf,opm.gov/healthcare-insurance/healthcare/plan-information/premiums/,19437
Forms & Pubs,https://www.irs.gov/pub/irs-pdf/i1040gi.pdf,irs.gov/forms-pubs,19059
Application to Register Permanent Residence or Adjust Status | USCIS,https://www.uscis.gov/system/files_force/files/form/i-485instr.pdf,uscis.gov/i-485,18682
Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/fw4.pdf,irs.gov/,17738
Medicare Benefits,https://www.ssa.gov/pubs/EN-05-10531.pdf,ssa.gov/medicare/,16040
Public Service Loan Forgiveness | Federal Student Aid,https://studentaid.ed.gov/sa/sites/default/files/public-service-employment-certification-form.pdf,studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service,15474
Consideration of Deferred Action for Childhood Arrivals | USCIS,https://www.uscis.gov/system/files_force/files/form/i-821d.pdf,uscis.gov/i-821d,15096
Trademarks | USPTO,http://tmsearch.uspto.gov/bin/gate.exe,uspto.gov/trademark,14908
General Schedule,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/16Tables/pdf/GS.pdf,opm.gov/policy-data-oversight/pay-leave/salaries-wages/2016/general-schedule/,14530
Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/i1040tt.pdf,irs.gov/,14530
HHS Poverty Guidelines for Affidavit of Support | USCIS,https://www.uscis.gov/system/files_force/files/form/i-864p.pdf,uscis.gov/i-864p,14342
"Form W-4, Employee's Withholding Allowance Certificate",https://www.irs.gov/pub/irs-pdf/fw4.pdf,irs.gov/uac/about-form-w4,14153
Dental & Vision,https://www.opm.gov/healthcare-insurance/flyers/vision-insurance-overview.pdf,opm.gov/healthcare-insurance/dental-vision/,13776
Individual - Savings Bond Calculator,https://www.treasurydirect.gov/indiv/tools/tools_savingsbondcalc.htm,treasurydirect.gov/indiv/tools/tools_savingsbondcalc.htm,13776
Application for Naturalization | USCIS,https://www.uscis.gov/system/files_force/USCIS/Office%20of%20Citizenship/Citizenship%20Resource%20Center%20Site/Publications/PDFs/G-1151.pdf,uscis.gov/n-400,12643
"Payment Plans, Installment Agreements",https://www.irs.gov/pub/irs-pdf/f9465.pdf,irs.gov/individuals/payment-plans-installment-agreements,12643
Employment Eligibility Verification | USCIS,https://www.uscis.gov/system/files_force/files/form/i-9instr.pdf,uscis.gov/i-9,12266
Biographic Information | USCIS,https://www.uscis.gov/system/files_force/files/form/g-325a.pdf,uscis.gov/g-325a,12077
"Form 1040, U.S. Individual Income Tax Return",https://www.irs.gov/pub/irs-pdf/f1040.pdf,irs.gov/uac/about-form-1040,12077
Required Minimum Distribution Worksheets,https://www.irs.gov/pub/irs-tege/uniform_rmd_wksht.pdf,irs.gov/retirement-plans/plan-participant-employee/required-minimum-distribution-worksheets,12077
Enrollment,https://www.opm.gov/forms/pdf_fill/sf2809.pdf,opm.gov/healthcare-insurance/healthcare/enrollment/,11888
Forms & Pubs,https://www.irs.gov/pub/irs-pdf/fw4.pdf,irs.gov/forms-pubs,11888
Plan Information,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/plan-codes/2017/brochures/Delta%20Dent.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,11700
Plan Information,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/plan-codes/2017/brochures/MetLife.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,11511
Application for Travel Document | USCIS,https://www.uscis.gov/system/files_force/files/form/i-131instr.pdf,uscis.gov/i-131,11322
Application to Replace Permanent Resident Card | USCIS,https://www.uscis.gov/system/files_force/files/form/i-90instr.pdf,uscis.gov/i-90,11322
Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/fw9.pdf,irs.gov/,11322
Search trademark database | USPTO,http://tmsearch.uspto.gov/bin/gate.exe,uspto.gov/trademarks-application-process/search-trademark-database,11322
"Publication 17, Your Federal Income Tax",https://www.irs.gov/pub/irs-pdf/p17.pdf,irs.gov/uac/about-publication-17,11134
Notice of Entry of Appearance as Attorney or Accredited Representative | USCIS,https://www.uscis.gov/system/files_force/files/form/g-28.pdf,uscis.gov/g-28,10945
Petition for Alien Fiancé(e) | USCIS,https://www.uscis.gov/system/files_force/files/form/i-129f.pdf,uscis.gov/i-129f,10756
Plan Information,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/plan-codes/2017/brochures/FEP%20BlueDe.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,10756
Plan Information,https://www.opm.gov/healthcare-insurance/dental-vision/plan-information/premiums/2017visionpremium.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,10379
Healthcare,http://www.opm.gov/healthcare-insurance/flyers/health-insurance-overview.pdf,opm.gov/healthcare-insurance/healthcare/,9813
Renew by Mail,http://www.state.gov/documents/organization/212241.pdf,travel.state.gov/content/passports/en/passports/renew.html,9813
Application for Naturalization | USCIS,https://www.uscis.gov/system/files_force/files/form/g-1145.pdf,uscis.gov/n-400,9624
Forms & Pubs,https://www.irs.gov/pub/irs-pdf/fw9.pdf,irs.gov/forms-pubs,9624
Petition to Remove Conditions on Residence | USCIS,https://www.uscis.gov/system/files_force/files/form/i-751.pdf,uscis.gov/i-751,9247
Loan and Grant Fact Sheets | Federal Student Aid,https://studentaid.ed.gov/sa/sites/default/files/federal-grant-programs.pdf,studentaid.ed.gov/sa/resources/loan-grant-fact-sheets,9058
Plan Information,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/plan-codes/2017/brochures/GEHA.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,9058
Report of Medical Examination and Vaccination Record | USCIS,https://www.uscis.gov/system/files_force/files/form/i-693.pdf,uscis.gov/i-693,9058
USDA | Commodity Forecasts | World Agricultural Supply and Demand Estimates,http://www.usda.gov/oce/commodity/wasde/latest.pdf,usda.gov/oce/commodity/wasde/,9058
Affidavit of Support Under Section 213A of the INA | USCIS,https://www.uscis.gov/system/files_force/files/form/i-864instr.pdf,uscis.gov/i-864,8869
Petition for Alien Relative | USCIS,https://www.uscis.gov/system/files_force/files/form/g-1145.pdf,uscis.gov/i-130,8869
Vaccine Information Statement | Inactivated Influenza | VIS | CDC,http://www.cdc.gov/vaccines/hcp/vis/vis-statements/flu.pdf,cdc.gov/vaccines/hcp/vis/vis-statements/flu.html,8869
Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/f1040ez.pdf,irs.gov/,8680
Request for Fee Waiver | USCIS,https://www.uscis.gov/system/files_force/files/form/i-912.pdf,uscis.gov/i-912,8680
E-Notification of Application/Petition Acceptance | USCIS,https://www.uscis.gov/system/files_force/files/form/g-1145.pdf,uscis.gov/g-1145,8492
How to Apply for a Passport,http://www.state.gov/documents/organization/212239.pdf,travel.state.gov/content/passports/en/passports/apply.html,8492
Petition to Remove Conditions on Residence | USCIS,https://www.uscis.gov/system/files_force/files/form/i-751instr.pdf,uscis.gov/i-751,8303
Electronic Visa Update System (EVUS) Frequently Asked Questions | U.S. Customs and Border Protection,https://www.cbp.gov/sites/default/files/assets/documents/2016-Nov/evus-brochure-chinese-20161104.pdf,cbp.gov/travel/international-visitors/electronic-visa-update-system-evus/frequently-asked-questions,7926
"Form 1099-MISC, Miscellaneous Income",https://www.irs.gov/pub/irs-pdf/f1099msc.pdf,irs.gov/uac/about-form-1099misc,7737
Petition for Alien Fiancé(e) | USCIS,https://www.uscis.gov/system/files_force/files/form/i-129finstr.pdf,uscis.gov/i-129f,7737
U.S. Tsunami Warning Centers,http://www.tsunami.gov/events/PAAQ/2016/12/08/ohvnon/1/WEAK53/WEAK53.txt,tsunami.gov/,7737
Application for Certificate of Citizenship | USCIS,https://www.uscis.gov/system/files_force/files/form/n-600.pdf,uscis.gov/n-600,7171
"Form 8822, Change of Address",https://www.irs.gov/pub/irs-pdf/f8822.pdf,irs.gov/uac/form-8822-change-of-address,7171
Application for Employment Authorization | USCIS,https://www.uscis.gov/system/files_force/files/form/i-765ws.pdf,uscis.gov/i-765,6982
The Bill of Rights: What Does it Say? | National Archives,https://www.archives.gov/founding-docs/bill-of-rights/what-does-it-say,archives.gov/founding-docs/bill-of-rights/what-does-it-say,6982
GSA Advantage ! e-Buy,https://www.ebuy.gsa.gov/advantage/ebuy/view_doc.do,ebuy.gsa.gov/advantage/ebuy/seller/open_rfq.do?contractnumber=gs-00f-007da&rfqid=rfq1157100,6793
Getting or Renewing a U.S. Passport | USAGov,http://www.state.gov/documents/organization/212241.pdf,usa.gov/passport,6793
Plan Information,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/plan-codes/2017/brochures/FEP%20BlueVi.pdf,opm.gov/healthcare-insurance/dental-vision/plan-information/,6793
Disability Benefits,https://www.ssa.gov/hlp/radr/10/ovw001-checklist.pdf,ssa.gov/disabilityssi/,6605
Consideration of Deferred Action for Childhood Arrivals | USCIS,https://www.uscis.gov/system/files_force/files/form/i-765.pdf,uscis.gov/i-821d,6416
Forms & Pubs,https://www.irs.gov/pub/irs-pdf/i1040tt.pdf,irs.gov/forms-pubs,6416
Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/f1099msc.pdf,irs.gov/,6416
Medicare Benefits,https://www.ssa.gov/pubs/EN-05-10043.pdf,ssa.gov/medicare/,6416
Preguntas de la parte de educación cívica del Examen de Naturalización | USCIS,https://www.uscis.gov/sites/default/files/USCIS/Office%20of%20Citizenship/Naturalization%20Test/Redesigned%20Natz%20Test/100%20Test%20Q,uscis.gov/es/recursos/recursos-relacionados-la-ciudadania-y-la-naturalizacion/el-examen-de-naturalizacion-materiales-de-estudio/preguntas-de-la-parte-de-educacion-civica-del-examen-de-naturalizacion,6416
Study Materials for the Civics Test | USCIS,https://www.uscis.gov/sites/default/files/USCIS/Office%20of%20Citizenship/Citizenship%20Resource%20Center%20Site/Publications/100q.pdf,uscis.gov/citizenship/learners/study-test/study-materials-civics-test,6416
"Form 4506, Request for Copy of Tax Return",https://www.irs.gov/pub/irs-pdf/f4506.pdf,irs.gov/uac/about-form-4506,6227
Healthcare & Insurance : Plan Information - OPM.gov,https://www.opm.gov/healthcare-insurance/healthcare/plan-information/plan-codes/2017/brochures/71-005.pdf,opm.gov/healthcare-insurance/healthcare/plan-information/plans/2017/state/va,6227
